NMNH       220354     ctt27ms2.xls
13.8364    14.6182    13.3424    IN
11.265     11.8239    14.8961    BR
7.8769     7.9811     12.4289    GL
7.6768     7.7507     11.4733    NA
6.4112     6.3947     9.289      RH
5.9353     5.8423     6.8633     NS
5.6321     5.5478     5.681      PR
5.1572     6.1555     5.7775     R_PR2
6.9916     7.4326     10.3312    R_PMS
6.4362     10.6007    7.9948     R_ZMI
6.6055     9.2337     9.8546     R_ZMU
7.6937     8.375      11.006     R_DA
6.8644     9.6281     12.2451    R_MTI
6.9365     9.6891     12.7001    R_MTS
6.415      10.4191    11.2517    R_FMO
6.3013     10.9785    11.2615    R_FMT
9.8105     15.1974    10.671     R_PO
6.1834     12.12      9.2551     R_ZTS
6.1937     5.1575     5.7077     L_PR2
7.4154     7.0028     10.1988    L_PMS
10.6747    6.58       8.1028     L_ZMI
9.2167     6.8405     9.9113     L_ZMU
8.3338     7.8298     11.0006    L_DA
9.6314     6.9529     12.2642    L_MTI
9.788      7.1642     12.7993    L_MTS
10.5369    6.6439     11.2951    L_FMO
11.1259    6.6597     11.3137    L_FMT
14.7379    10.585     10.5914    L_PO
12.2845    6.6549     9.2387     L_ZTS
7.7613     5.4329     7.0132     O1
10.6031    6.1848     9.2898     O2
15.1336    11.1952    11.5133    O3
14.0645    13.7699    13.6069    O4







































































































































































7.8732     7.97       12.3672    GLRH
7.83       7.9417     12.1787
7.7866     7.8961     12.0015
7.7595     7.8375     11.852
7.7083     7.7804     11.6665
7.6751     7.7546     11.5529
7.6494     7.7296     11.453
7.5944     7.6649     11.3055
7.5244     7.6042     11.1753
7.507      7.5478     11.0677
7.4442     7.4979     10.9361
7.4017     7.4737     10.8727
7.3638     7.4157     10.7716
7.3192     7.362      10.6939
7.2646     7.307      10.5927
7.1808     7.2362     10.4795
7.1026     7.1517     10.4067
7.0294     7.0848     10.3194
6.943      6.9855     10.1913
6.8553     6.8771     10.0869
6.7901     6.8159     10.0205
6.6972     6.723      9.9247
6.6571     6.6506     9.8318
6.5861     6.5762     9.7503
6.5309     6.5203     9.6592
6.4902     6.4792     9.5698
6.4608     6.4006     9.4218
6.43       6.38       9.3164
6.3924     6.3908     9.2779











































































































































































6.3812     6.4064     9.2892     NOSE
6.3204     6.4572     9.3278
6.2964     6.5063     9.3304
6.261      6.5416     9.3277
6.2418     6.5897     9.3083
6.1886     6.6164     9.2161
6.177      6.6271     9.163
6.1603     6.6542     9.1068
6.1635     6.6586     9.0737
6.1618     6.6794     9.0375
6.1882     6.735      9.0079
6.1891     6.8161     9.0879
6.2044     6.8149     8.9563
6.1932     6.7998     8.8172
6.1645     6.7958     8.7219
6.1307     6.8065     8.5819
6.0791     6.8216     8.4432
6.0106     6.8251     8.3737
5.9734     6.8071     8.2973
5.9218     6.7801     8.2122
5.8897     6.7664     8.1015
5.8491     6.7726     8.0271
5.8288     6.7723     7.9106
5.82       6.7312     7.8234
5.7633     6.6879     7.7191
5.7409     6.6088     7.6191
5.7608     6.5396     7.5052
5.7297     6.4536     7.399
5.7172     6.3683     7.3328
5.7141     6.2765     7.2577
5.6907     6.1775     7.1772
5.7015     6.0852     7.1018
5.7116     6.0117     7.0114
5.7716     5.9685     6.983
5.8259     5.8939     6.9199
5.8702     5.8448     6.8841
5.8963     5.8322     6.8633
6.0402     5.6783     7.0161
6.0671     5.6165     7.0595
6.1328     5.603      7.1186
6.2245     5.5743     7.2213
6.281      5.5702     7.269
6.3375     5.5722     7.3168
6.4227     5.6139     7.3845
6.5012     5.6456     7.4455
6.5746     5.657      7.5213
6.6247     5.6932     7.5727
6.6876     5.7131     7.6377
6.7381     5.754      7.7621
6.8029     5.85       7.8926
6.834      5.8874     7.9664
6.8626     5.9318     8.0499
6.8905     5.9772     8.1424
6.8785     6.0609     8.3239
6.8683     6.1139     8.4941
6.8466     6.1339     8.6098
6.8441     6.1442     8.7465
6.866      6.1752     8.8983
6.856      6.1687     9.0286
6.8237     6.1737     9.0316
6.7571     6.1965     9.1215
6.7474     6.2182     9.2047
6.6664     6.2474     9.2096
6.5544     6.338      9.3972
6.5166     6.3399     9.3494
6.4589     6.3424     9.2938
6.3932     6.3681     9.2864





































































































































5.9044     5.8438     6.8669     NASP-PR
5.852      5.786      6.7912
5.793      5.756      6.721
5.7698     5.7133     6.6375
5.7348     5.6888     6.5512
5.7191     5.66       6.4959
5.6715     5.6397     6.4101
5.6698     5.6235     6.3698
5.6399     5.6091     6.2805
5.6205     5.6141     6.2501
5.5857     5.6042     6.1601
5.5831     5.6005     6.0626
5.6048     5.572      5.9435
5.579      5.5639     5.85
5.6015     5.5491     5.8058
5.6106     5.5775     5.7427
5.603      5.5836     5.6626























































































































































































