AMNH       118806     ctt3ms.xls
20.0156    19.6192    -9.5615    IN
17.2646    17.0655    -11.8809   BR
13.4233    13.6353    -10.3736   GL
13.2688    13.4935    -10.1612   NA
11.4699    11.8506    -7.9006    RH
10.2149    10.8272    -5.7773    NS
9.7655     10.5195    -4.4723    PR
10.4097    10.1114    -4.4533    R_PR2
12.4175    12.2327    -8.3034    R_PMS
15.6997    11.2533    -6.3255    R_ZMI
14.2103    11.9139    -8.1004    R_ZMU
13.5349    13.253     -9.2099    R_DA
14.8519    12.5658    -10.4029   R_MTI
15.208     12.8895    -10.7412   R_MTS
15.6582    11.7353    -9.0084    R_FMO
16.3613    11.8374    -9.4832    R_FMT
20.2837    15.0504    -7.7613    R_PO
17.0987    11.3199    -7.2994    R_ZTS
9.3435     11.2584    -4.8324    L_PR2
11.8576    12.7967    -8.3073    L_PMS
11.2064    16.1073    -6.39      L_ZMI
11.8685    14.6195    -8.0859    L_ZMU
12.8386    13.6952    -9.0459    L_DA
12.5512    15.1632    -10.3635   L_MTI
12.9154    15.4539    -10.6911   L_MTS
11.8031    16.2093    -9.2254    L_FMO
11.9012    16.775     -9.3388    L_FMT
15.5913    20.2736    -7.6586    L_PO
11.6215    17.5059    -7.3016    L_ZTS
10.5564    9.7511     -4.2296    O1
11.123     16.7112    -6.8625    O2
16.2325    20.429     -8.4241    O3
19.4235    19.8303    -8.6943    O4







































































































































































13.3461    13.5604    -10.2991   GLRH
13.2675    13.5274    -10.1891
13.1814    13.3895    -10.0565
13.1307    13.3356    -9.9699
13.0286    13.2242    -9.8029
12.9112    13.0996    -9.5849
12.7791    13.02      -9.3868
12.653     12.9273    -9.2185
12.5031    12.811     -9.0269
12.3529    12.6819    -8.8353
12.2034    12.5004    -8.6494
12.0797    12.3886    -8.5305
11.9119    12.2257    -8.3745
11.7784    12.0648    -8.2634
11.6392    11.9606    -8.1063
11.5636    11.875     -8.0051
11.5036    11.8294    -7.8995























































































































































































11.4682    11.8887    -7.867     NOSE
11.4796    11.7524    -7.8023
11.5198    11.6272    -7.7352
11.5522    11.5055    -7.6265
11.627     11.4838    -7.563
11.7545    11.495     -7.5432
11.7215    11.375     -7.4083
11.658     11.2367    -7.2197
11.606     11.0917    -7.0282
11.5032    10.9657    -6.8233
11.3838    10.8552    -6.53
11.1728    10.7855    -6.3368
10.9498    10.7192    -6.1802
10.6208    10.6307    -6.0404
10.4725    10.6797    -5.9282
10.3153    10.7496    -5.8494
10.205     10.8587    -5.7856
10.211     10.9343    -5.8158
10.1487    11.084     -5.8702
10.1513    11.2891    -5.9605
10.1814    11.4658    -6.0594
10.2233    11.6166    -6.154
10.2897    11.7186    -6.2465
10.3871    11.8738    -6.401
10.4677    11.9777    -6.525
10.5515    12.0497    -6.7201
10.6493    12.1204    -6.8564
10.7564    12.1711    -7.0001
10.9028    12.2007    -7.1929
11.0605    12.2535    -7.3228
11.1404    12.1742    -7.5246
11.2283    12.1187    -7.6197
11.3796    12.0848    -7.7947
11.4429    11.9501    -7.8504
11.4982    11.8976    -7.877





































































































































































10.171     10.8278    -5.7623    NASP-PR
10.0902    10.737     -5.6786
9.9762     10.622     -5.5275
9.887      10.5731    -5.3213
9.8714     10.5611    -5.1134
9.8404     10.5482    -4.854
9.8187     10.5191    -4.6936
9.8049     10.5185    -4.6049
9.7987     10.4939    -4.5374
9.8078     10.5196    -4.4113






























































































































































































12.4012    12.1953    -8.2591    R-PM/MAX
12.377     12.0964    -8.176
12.2953    11.9523    -8.0154
12.234     11.7576    -7.824
12.1494    11.6251    -7.632
12.0868    11.4155    -7.3978
12.0174    11.2197    -7.1643
11.9422    11.0773    -7.0043
11.8892    10.9352    -6.7473
11.8564    10.7595    -6.4954
11.8066    10.6034    -6.2072
11.7183    10.4395    -5.9734
11.666     10.3102    -5.7645
11.6781    10.1699    -5.554
11.6991    10.0503    -5.2817
11.7603    10.0802    -5.1193
11.7389    10.0855    -5.0533























































































































































































11.8137    12.7693    -8.266     L-PM/MAX
11.7203    12.7474    -8.162
11.5687    12.6794    -8.0222
11.4328    12.6413    -7.8202
11.2209    12.5814    -7.559
11.0219    12.5146    -7.3684
10.8192    12.4662    -7.1588
10.6219    12.3842    -6.9367
10.464     12.4102    -6.6874
10.2891    12.4317    -6.4359
10.1137    12.4077    -6.1786
9.9571     12.3417    -5.9701
9.7374     12.329     -5.7075
9.6072     12.3699    -5.4701
9.5967     12.3552    -5.2195
9.6188     12.3193    -5.081
























































































































































































13.7762    11.1467    -4.6931    ROSTRUM
13.8092    11.0542    -4.8606
13.7975    11.0176    -5.1576
13.7165    11.0521    -5.3507
13.6624    11.1189    -5.6338
13.5755    11.1893    -5.9034
13.5183    11.2544    -6.159
13.4767    11.3037    -6.404
13.4255    11.3518    -6.6877
13.404     11.2586    -7.0091
13.339     11.2816    -7.1788
13.28      11.3599    -7.4049
13.2011    11.4341    -7.5301
13.1005    11.581     -7.6024
13.0241    11.6864    -7.6948
12.8901    11.8408    -7.7862
12.628     12.0404    -7.938
12.5866    12.1002    -8.0286
12.5171    12.1433    -8.1756
12.4441    12.2455    -8.3194
12.32      12.3199    -8.5049
12.1979    12.4773    -8.6155
12.1253    12.5757    -8.6182
12.0688    12.4902    -8.6137
11.9655    12.6368    -8.5278
11.8902    12.7632    -8.3981
11.8249    12.9386    -8.1717
11.7138    13.0881    -7.9189
11.5322    13.2833    -7.7642
11.32      13.507     -7.6313
11.2219    13.6287    -7.5083
11.1094    13.7857    -7.3195
11.0466    13.8625    -7.1158
11.0681    13.8893    -6.7534
11.0269    13.891     -6.4594
10.9788    14.0062    -6.0651
10.8972    14.0583    -5.7965
10.8293    14.122     -5.5133
10.7803    14.1281    -5.3046
10.772     14.166     -5.0381
10.8814    14.1951    -4.7592
10.8353    14.2362    -4.7702






























































































































































16.4001    11.89      -9.4679    SUPORB
16.349     11.8917    -9.6173
16.2344    12.033     -9.9928
16.0375    12.2519    -10.2928
