AMNH       119757     CTT4MS.XLS
17.4384    17.0373    -9.8957    IN
15.1606    14.9731    -11.8802   BR
11.0133    11.4314    -10.022    GL
10.7508    11.1041    -9.2407    NA
9.3139     9.7432     -7.2333    RH
8.4799     8.8241     -5.1561    NS
8.0719     8.4873     -4.2033    PR
8.7624     8.0681     -4.3237    R_PR2
10.2266    9.9122     -7.4997    R_PMS
13.4748    9.0759     -5.9499    R_ZMI
12.1089    9.888      -7.7166    R_ZMU
11.2869    11.1449    -8.7237    R_DA
12.3729    10.3203    -10.0941   R_MTI
12.7299    10.5719    -10.5242   R_MTS
13.4032    9.4987     -9.0175    R_FMO
13.9916    9.626      -9.2679    R_FMT
17.8337    12.6681    -7.7593    R_PO
14.9604    9.2274     -7.0612    R_ZTS
7.7471     9.1673     -4.2806    L_PR2
9.6129     10.5741    -7.487     L_PMS
9.1308     13.8767    -5.8472    L_ZMI
9.7971     12.5947    -7.6148    L_ZMU
10.8142    11.6156    -8.8254    L_DA
10.1251    12.8498    -9.9895    L_MTI
10.5117    13.2249    -10.4369   L_MTS
9.527      14.0419    -8.749     L_FMO
9.7057     14.688     -8.9912    L_FMT
13.196     18.0186    -7.5552    L_PO
9.4661     15.6367    -6.8658    L_ZTS
9.0938     8.2386     -5.0141    O1
14.0891    8.7499     -6.6789    O2
17.9146    13.2812    -9.0496    O3
17.5618    16.0904    -10.2444   O4







































































































































































11.0409    11.4125    -10.0884   GLRH
10.9761    11.3334    -9.8981
10.8821    11.2044    -9.6375
10.795     11.1075    -9.3364
10.6967    11.0277    -9.0807
10.5978    10.8938    -8.8217
10.4642    10.7845    -8.5706
10.3454    10.6651    -8.3135
10.1829    10.5343    -8.1493
10.0124    10.377     -7.9707
9.8589     10.1822    -7.7998
9.7191     10.0651    -7.683
9.5731     9.9644     -7.581
9.4929     9.8637     -7.472
9.3827     9.7482     -7.3302
9.357      9.7079     -7.2414

























































