AMNH       119761     Laj3cms1
15.7194    16.3733    8.3982     IN
15.7513    20.403     11.5889    BR
16.2865    25.4344    9.7595     GL
16.289     25.4607    9.7116     NA
16.5506    27.5214    7.7945     RH
16.6381    28.5025    6.0198     NS
16.6711    29.0625    5.07       PR
17.3629    28.7207    5.1092     R_PR2
16.7521    26.4087    8.2206     R_PMS
19.3144    24.6757    6.116      R_ZMI
18.1736    25.2793    8.1027     R_ZMU
16.5484    25.1203    9.1402     R_DA
17.8266    24.6786    10.1273    R_MTI
17.8366    24.3592    10.5271    R_MTS
19.0002    24.2062    8.9143     R_FMO
19.4287    23.5785    8.8921     R_FMT
19.0263    19.6526    7.1885     R_PO
20.0195    23.9265    6.8327     R_ZTS
15.9696    28.8093    5.0055     L_PR2
16.1135    26.3811    8.2601     L_PMS
13.1758    25.0389    5.9559     L_ZMI
14.7526    25.6614    8.0961     L_ZMU
15.9967    25.2627    8.9383     L_DA
14.3742    24.8383    9.9237     L_MTI
14.4483    24.562     10.3778    L_MTS
13.3833    24.6637    8.6033     L_FMO
13.0196    24.1815    8.5415     L_FMT
12.9024    19.9914    6.8992     L_PO
12.5806    24.4287    6.7133     L_ZTS
15.8184    28.3977    5.9228     O1
13.8393    25.8075    7.7704     O2
12.5088    19.5038    7.5133     O3
16.5646    16.7231    9.12       O4







































































































































































16.29      25.4452    9.728      GLRH
16.3005    25.5018    9.6323
16.3021    25.5584    9.5353
16.3212    25.5943    9.4186
16.3117    25.6725    9.2786
16.3643    25.74      9.1808
16.3617    25.7968    9.0772
16.3691    25.8536    9.0172
16.3924    25.9545    8.8792
16.4081    26.0413    8.7745
16.4163    26.142     8.6877
16.4297    26.2673    8.5825
16.4592    26.3757    8.4991
16.457     26.504     8.4161
16.4812    26.6228    8.3738
16.4811    26.7684    8.3184
16.4886    26.8768    8.2752
16.5077    27.0156    8.2307
16.5134    27.1248    8.1879
16.5196    27.2386    8.1231
16.5522    27.3416    8.0328
16.5608    27.4164    7.9719
16.567     27.4818    7.8962
16.5508    27.5232    7.8218
















































































































































































16.5007    27.5154    7.8193     NOSE
16.6027    27.5114    7.8644
16.7018    27.5171    7.842
16.7852    27.5514    7.7881
16.8896    27.512     7.6888
16.9856    27.3136    7.4332
17.0827    27.3602    7.3028
17.1331    27.4161    7.1718
17.2017    27.5459    7.0473
17.2548    27.6638    6.8583
17.2742    27.8532    6.729
17.2439    28.04      6.567
17.1784    28.1479    6.4219
17.133     28.3059    6.3069
17.0221    28.3487    6.2044
16.9436    28.4723    6.1293
16.8145    28.4933    6.0672
16.6743    28.5326    5.9953
16.5302    28.5928    6.0722
16.4272    28.5582    6.1445
16.3177    28.5026    6.2117
16.2598    28.4265    6.2834
16.2114    28.3481    6.3521
16.1449    28.2473    6.4289
16.0752    28.1204    6.5197
16.0259    28.0305    6.6469
15.9791    27.8891    6.779
15.9544    27.7623    6.8848
15.9205    27.6315    6.9912
15.9092    27.4972    7.1368
15.9654    27.4146    7.2791
16.0247    27.405     7.4114
16.1357    27.5252    7.6633
16.2489    27.5565    7.7816
16.3711    27.5507    7.8308
16.4933    27.5157    7.8158




































































































































































16.65      28.5284    6.0096     NASP-PR
16.6703    28.6341    5.9762
16.6873    28.7171    5.9064
16.7097    28.7703    5.8303
16.718     28.8583    5.7337
16.7167    28.922     5.6183
16.6996    28.9595    5.4802
16.7002    29.0092    5.3628
16.7046    29.0404    5.2233
16.6966    29.07      5.1464
16.6624    29.0691    5.0619





























































































































































































16.7955    26.3479    8.264      R-PM/MAX
16.8606    26.457     8.1464
16.9101    26.5507    8.0423
16.9587    26.6452    7.9508
16.9882    26.694     7.9113
17.0425    26.7832    7.8236
17.0694    26.803     7.7493
17.1465    26.8738    7.6372
17.2111    26.9454    7.5535
17.2618    27.0294    7.4585
17.3073    27.1208    7.3445
17.4039    27.2138    7.1754
17.4508    27.2787    7.073
17.5061    27.3744    6.9386
17.5247    27.4776    6.7825
17.5768    27.5295    6.6537
17.6353    27.5488    6.5284
17.7035    27.5845    6.4084
17.7602    27.6166    6.2641
17.8292    27.6932    6.0874
17.8726    27.7296    5.9644
17.9192    27.7901    5.8645
18.002     27.825     5.7003
18.0355    27.8153    5.5641
18.0519    27.79      5.513
18.0077    27.7943    5.4275
17.943     27.8618    5.4388
17.8469    27.8535    5.368
17.8134    27.8042    5.2861











































































































































































16.1305    26.4022    8.2489     L-PM/MAX
16.0928    26.5348    8.1578
16.0601    26.6421    8.0486
16.0223    26.7722    7.9088
15.9856    26.8736    7.8041
15.9387    26.9386    7.6854
15.8963    27.0965    7.585
15.8227    27.1985    7.4244
15.7725    27.3105    7.2746
15.734     27.418     7.1578
15.6817    27.5301    6.9765
15.6823    27.6468    6.8298
15.6262    27.7307    6.6526
15.5865    27.8033    6.4722
15.4891    27.8644    6.2637
15.4166    27.8991    6.1153
15.3816    28.0256    5.9559
15.2669    28.0474    5.7508
15.2231    28.0905    5.5967
15.2446    28.0803    5.4309
15.3499    28.0143    5.2871
15.4423    27.9793    5.2416


















































































































































































18.2253    25.875     5.1969     ROSTRUM
18.2124    25.9302    5.4301
18.2208    25.9246    5.5787
18.1761    25.9148    5.7163
18.1232    25.9481    5.8768
17.998     25.9154    6.0346
17.9154    25.9309    6.1202
17.8628    25.934     6.2472
17.8051    25.9258    6.4393
17.7737    25.9169    6.6143
17.7859    25.9033    6.7227
17.7613    25.895     6.9445
17.718     25.9241    7.0828
17.7227    25.9344    7.2089
17.7367    25.9656    7.3421
17.7718    25.9732    7.4566
17.7847    25.9691    7.6049
17.7052    25.9734    7.6938
17.6042    25.9631    7.7219
17.5028    25.9401    7.7764
17.3144    25.9488    7.8993
17.1767    25.9522    7.9639
17.0222    25.9438    8.0496
16.889     25.9358    8.152
16.7611    25.9358    8.2899
16.6913    25.9334    8.4715
16.6406    25.9499    8.6393
16.4809    25.9739    8.8177
16.3515    25.9904    8.8707
16.1806    25.9637    8.8113
16.1297    25.9657    8.7268
16.0525    25.9546    8.5609
15.9999    25.9473    8.3621
15.9209    25.9651    8.1905
15.8423    25.9794    8.1025
15.7276    25.9855    8.0198
15.6355    26.0209    7.9298
15.487     26.067     7.8761
15.3566    26.1031    7.7965
15.236     26.1587    7.735
15.1096    26.1776    7.6838
15.0027    26.2244    7.5708
15.0704    26.2483    7.3721
15.1408    26.2625    7.1839
15.1711    26.2812    7.0146
15.1229    26.2662    6.8492
15.0944    26.2834    6.697
15.0653    26.2796    6.5061
15.028     26.2554    6.3216
14.9698    26.2564    6.1594
14.8829    26.2385    5.9541
14.7859    26.2547    5.8003
14.7306    26.2646    5.5684
14.7172    26.2209    5.3666
14.689     26.1757    5.2237

















































































































































19.4127    23.6784    8.8053     SUPORB
19.3911    23.6799    9.0325
19.2857    23.6524    9.2697
19.1599    23.7621    9.5111
19.0078    23.8177    9.7346
18.8836    23.8399    9.889
18.7389    23.8896    10.0511
18.5812    23.9231    10.1746
18.4023    23.9993    10.2876
18.2394    24.1164    10.3881
18.1011    24.1733    10.4683
17.8953    24.2468    10.5299
17.5962    24.4015    10.6058
17.3248    24.5208    10.6325
17.0467    24.6348    10.6403
16.925     24.6893    10.6214
16.6808    24.7648    10.5979
16.5695    24.8167    10.5902
16.3066    24.9096    10.5188
16.0862    24.9247    10.4982
15.9006    24.8874    10.5448
15.6231    24.8891    10.517
15.5247    24.8688    10.5376
15.3048    24.8199    10.5187
15.041     24.7346    10.5209
14.8879    24.6561    10.4968
14.6367    24.5455    10.4611
14.4216    24.4874    10.3877
14.1704    24.408     10.2848
13.9289    24.332     10.1179
13.7234    24.2303    9.9616
13.5591    24.1595    9.8125
13.4052    24.094     9.6848
13.3342    24.0742    9.579
13.3084    24.1255    9.5026
13.1767    24.1327    9.3122
13.0923    24.1827    9.103
12.9959    24.1579    8.8584
12.9525    24.1458    8.6786
12.968     24.154     8.5492
13.0018    24.2339    8.4734































































































































































18.1937    25.2332    8.1463     RORBIT
18.3386    25.1709    8.142
18.5295    25.1178    8.1574
18.6929    25.0096    8.1912
18.8006    24.9191    8.2183
18.8578    24.8102    8.2669
18.9131    24.7395    8.3107
18.9677    24.6402    8.3697
18.9924    24.5511    8.4152
19.0689    24.445     8.5243
19.0675    24.3256    8.6344
19.0778    24.2639    8.7529
19.0907    24.212     8.8844
19.0682    24.1919    9.0518
18.956     24.1784    9.2344
18.8694    24.1761    9.4184
18.8093    24.1864    9.5532
18.691     24.1945    9.6956
18.537     24.2433    9.8429
18.3338    24.3845    9.9341
18.2009    24.4703    10.0703
17.9616    24.5527    10.0839
17.7913    24.606     10.0938
17.5988    24.6538    10.1042
17.3742    24.7504    10.0983
17.1671    24.8262    10.0618
17.0439    24.8963    9.9993
16.9271    24.974     9.9631
16.7825    25.0196    9.7399
16.7091    25.0673    9.5997
16.6495    25.0879    9.4912
16.6192    25.1215    9.3682
16.5776    25.1149    9.2363
16.5468    25.1364    9.1606






































































































































































14.5943    25.5538    8.0907     LORBIT
14.4583    25.5517    8.0677
14.2568    25.4963    8.046
14.0956    25.3986    8.0464
13.9927    25.343     8.0731
13.8748    25.2426    8.0929
13.7959    25.1523    8.1427
13.7026    25.0305    8.1817
13.6318    24.9456    8.2436
13.5587    24.8287    8.3408
13.503     24.725     8.4593
13.5098    24.6767    8.5254
13.4776    24.6461    8.6145
13.433     24.6338    8.7209
13.4582    24.5779    8.9233
13.5172    24.5582    9.081
13.5981    24.5584    9.2585
13.6862    24.5821    9.5089
13.7986    24.5965    9.6366
13.9742    24.6927    9.8514
14.1167    24.7241    9.8654
14.3093    24.7717    9.9149
14.472     24.7979    9.9385
14.6741    24.8183    9.9389
14.8356    24.8843    9.9684
15.0681    24.9921    10.055
15.3121    25.0606    10.0606
15.4608    25.0183    9.9314
15.5896    25.0566    9.8312
15.6822    25.0571    9.7083
15.8307    25.124     9.5644
15.9003    25.124     9.3924
15.9839    25.1806    9.2347
15.9935    25.1786    9.1266
16.0057    25.2366    9.0183
15.9993    25.2708    8.9226




































































































































































19.4217    23.7627    8.818      RTEMFOS
19.4146    23.8364    8.5941
19.4799    23.961     8.3864
19.4659    24.1005    8.244
19.4636    24.2552    8.0713
19.4592    24.3995    7.973
19.4394    24.517     7.8332
19.4648    24.665     7.7835
19.4882    24.6675    7.6214
19.5163    24.7186    7.5189
19.5843    24.802     7.435
19.6046    24.8056    7.3068
19.6612    24.7888    7.1745
19.7094    24.768     7.104
19.7235    24.6767    6.9876
19.7833    24.5985    6.9436
19.8508    24.5271    6.9021
19.9092    24.4161    6.8973
19.9358    24.2851    6.8933
19.9901    24.1242    6.8631
20.0874    23.9516    6.9004



















































































































































































13.0053    24.2733    8.4389     LTEMFOS
13.0526    24.4009    8.2936
13.0281    24.5321    8.0984
13.0504    24.6409    7.9856
13.0847    24.779     7.8902
13.0987    24.9192    7.7572
13.129     24.9995    7.6464
13.1535    25.1492    7.4661
13.1294    25.2825    7.3219
13.0857    25.328     7.1677
13.022     25.3378    7.0247
12.9503    25.2725    6.8802
12.8837    25.1576    6.7848
12.8125    24.9808    6.7066
12.7253    24.8445    6.684
12.6361    24.731     6.696
12.5734    24.6036    6.7
12.4991    24.4833    6.7266
12.4392    24.4333    6.6982





















































































































































































17.963     28.4797    8.4718     OP
17.7338    26.6978    8.6345     BA
17.2352    22.9478    8.0376     ST
16.8199    19.2918    7.8654     IV
