AMNH       119761     laj3cms4
15.2257    17.0848    7.8686     IN
15.779     20.7918    11.1012    BR
16.8191    25.8064    9.1009     GL
16.8157    25.8494    9.0727     NA
17.266     27.8378    7.1566     RH
17.4265    28.8142    5.3739     NS
17.4804    29.3701    4.3986     PR
18.1694    28.8993    4.3655     R_PR2
17.3141    26.6855    7.554      R_PMS
19.7396    24.7174    5.4586     R_ZMI
18.639     25.4609    7.4512     R_ZMU
16.9991    25.471     8.5016     R_DA
18.1897    24.8271    9.4382     R_MTI
18.127     24.4072    9.924      R_MTS
19.3403    24.2591    8.233      R_FMO
19.6581    23.6144    8.1658     R_FMT
18.7293    19.6217    6.4979     R_PO
20.2585    23.824     6.2228     R_ZTS
16.8176    29.2388    4.3852     L_PR2
16.6881    26.7702    7.6107     L_PMS
13.5425    25.8519    5.3885     L_ZMI
15.2284    26.2455    7.4936     L_ZMU
16.44      25.6484    8.29       L_DA
14.7881    25.4041    9.3073     L_MTI
14.8053    25.0991    9.7717     L_MTS
13.7837    25.3815    8.0292     L_FMO
13.3436    24.9724    7.921      L_FMT
12.654     20.8351    6.3989     L_PO
12.8068    25.2383    6.1417     L_ZTS
16.5572    28.796     5.2468     O1
14.3626    26.4461    7.1993     O2
12.288     20.4905    7.0164     O3
16.0086    17.1714    8.5965     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE


















































