AMNH       119761     laj3ms5.xls
14.4949    16.7072    -10.158    IN
12.5824    13.3689    -13.3257   BR
10.548     8.7636     -11.6578   GL
10.4864    8.6431     -11.3104   NA
9.7558     6.7216     -9.4279    RH
9.3919     5.624      -7.5448    NS
9.2362     5.2477     -6.6319    PR
10.0503    5.2157     -6.6252    R_PR2
10.5926    7.4527     -9.7439    R_PMS
13.5425    7.5872     -7.9465    R_ZMI
12.223     7.754      -9.8445    R_ZMU
10.9594    8.7658     -10.751    R_DA
12.2565    8.5636     -11.7878   R_MTI
12.3447    8.9523     -12.2144   R_MTS
13.5855    8.2963     -10.6202   R_FMO
14.1234    8.6262     -10.4494   R_FMT
15.828     12.2868    -8.8976    R_PO
14.7699    8.1253     -8.6577    R_ZTS
8.7794     5.7756     -6.6906    L_PR2
9.9194     7.8841     -9.7209    L_PMS
8.4129     10.1532    -7.5678    L_ZMI
9.0649     9.2942     -9.6288    L_ZMU
10.4679    9.0159     -10.4902   L_DA
9.4653     9.8867     -11.5445   L_MTI
9.6069     10.2196    -11.9967   L_MTS
8.5256     10.7921    -10.2223   L_FMO
8.4155     11.477     -10.1604   L_FMT
10.4907    15.0945    -8.4914    L_PO
7.887      11.5889    -8.1359    L_ZTS
9.7025     4.8429     -6.6597    O1
13.7041    7.1558     -8.7432    O2
16.4229    12.9248    -9.6421    O3
14.8233    15.7378    -11.4668   O4







































































































































































10.6239    8.7109     -11.5339   GLRH
10.5888    8.6485     -11.359
10.5622    8.583      -11.2389
10.5461    8.462      -10.9664
10.4817    8.3522     -10.7326
10.4188    8.166      -10.4775
10.3475    8.01       -10.3055
10.2865    7.8225     -10.1484
10.2039    7.6152     -9.983
10.1281    7.3834     -9.9026
10.0623    7.1692     -9.8056
9.9562     6.9585     -9.7086
9.8832     6.803      -9.5657
9.8348     6.703      -9.4574
9.8361     6.6889     -9.4089

























































































































































































9.9015     6.6225     -9.4204    NOSE
10.0099    6.6067     -9.4108
10.0917    6.5032     -9.3236
10.1234    6.4552     -9.2762
10.2011    6.4738     -9.1887
10.2298    6.4973     -9.1611
10.2902    6.5659     -9.2253
10.3609    6.6315     -9.2461
10.4122    6.6541     -9.1737
10.4676    6.5576     -9.0195
10.481     6.3991     -8.7559
10.4596    6.2863     -8.5339
10.3842    6.1078     -8.3194
10.2581    5.9568     -8.1846
10.1619    5.8145     -8.0109
9.9196     5.7571     -7.7758
9.7235     5.7058     -7.6806
9.5723     5.6475     -7.5964
9.4971     5.5948     -7.53
9.439      5.6707     -7.5911
9.3222     5.7502     -7.691
9.2664     5.9498     -7.8013
9.171      6.1942     -7.9896
9.1866     6.3695     -8.0871
9.2115     6.4468     -8.1731
9.2057     6.4982     -8.2808
