AMNH       86900      laa1ms.xls
15.3497    14.0257    -9.25      IN
12.2247    11.9458    -10.9385   BR
8.8712     9.875      -8.8125    GL
8.7067     9.737      -8.2931    NA
7.7877     9.0987     -6.501     RH
6.9597     8.5587     -4.7841    NS
6.8564     8.5265     -4.4184    PR
7.3408     8.1245     -4.2831    R_PR2
8.4543     9.2468     -6.9258    R_PMS
10.6167    8.0557     -5.4586    R_ZMI
9.7883     8.4015     -6.8374    R_ZMU
8.9069     9.6775     -7.997     R_DA
9.9121     8.9883     -8.7929    R_MTI
10.1622    9.1139     -9.2768    R_MTS
10.5857    8.0999     -8.0595    R_FMO
11.1364    8.0459     -7.9315    R_FMT
14.6234    10.1115    -7.2001    R_PO
11.6269    7.8175     -6.1712    R_ZTS
6.7413     9.1096     -4.2585    L_PR2
8.2846     9.7316     -7.2134    L_PMS
7.799      12.0975    -5.6642    L_ZMI
8.008      11.2113    -6.8502    L_ZMU
8.688      9.9797     -8.004     L_DA
8.522      11.2345    -8.7861    L_MTI
8.7362     11.3568    -9.2489    L_MTS
7.9689     12.1495    -8.0186    L_FMO
8.0622     12.6666    -7.9558    L_FMT
11.2451    14.9181    -7.2411    L_PO
8.112      13.3054    -6.2722    L_ZTS
6.902      8.2076     -4.1441    O1
7.7555     12.8382    -5.9482    O2
11.7159    15.3113    -7.6483    O3
14.8307    14.7839    -8.8145    O4







































































































































































8.8867     9.8379     -8.8453    GLRH
8.8518     9.8081     -8.7153
8.7989     9.8264     -8.5688
8.7436     9.7839     -8.4
8.6788     9.7322     -8.2595
8.6323     9.6964     -8.0591
8.5826     9.6595     -7.8193
8.5446     9.64       -7.6087
8.5023     9.5775     -7.4129
8.3648     9.4807     -7.1511
8.2964     9.4219     -7.0527
8.1994     9.363      -6.9285
8.1229     9.3027     -6.8327
8.0566     9.2784     -6.7793
7.9918     9.2242     -6.7069
7.9322     9.1869     -6.6745
7.8673     9.1542     -6.59
7.8048     9.1079     -6.527
7.801      9.0922     -6.449





















































































































































































7.7897     9.0829     -6.4737    NOSE
7.875      9.0256     -6.4601
7.9269     8.9778     -6.4678
7.9741     8.9364     -6.4649
7.9929     8.8794     -6.4152
8.0016     8.8171     -6.357
7.9928     8.7719     -6.2723
8.0558     8.779      -6.1551
8.1061     8.6983     -6.0465
8.1327     8.6558     -5.8987
8.1149     8.5912     -5.7567
8.0532     8.5872     -5.588
7.9427     8.5561     -5.4174
7.8093     8.5357     -5.3132
7.5258     8.5389     -5.1369
7.3118     8.5752     -4.9815
7.1736     8.5779     -4.902
7.0507     8.5742     -4.8281
6.9897     8.5869     -4.7916
6.904      8.6393     -4.7898
6.8857     8.7392     -4.9099
6.9224     8.8464     -5.0196
7.0496     9.0292     -5.1038
7.154      9.1942     -5.1711
7.2281     9.3064     -5.2531
7.2871     9.4193     -5.367
7.3424     9.5406     -5.4968
7.4143     9.589      -5.6847
7.5124     9.6059     -5.8156
7.5621     9.5656     -6.0411
7.6317     9.4594     -6.2794
7.6754     9.4581     -6.3425
7.7854     9.269      -6.5063
7.7813     9.19       -6.4542
7.8041     9.1159     -6.4223





































































































































































6.9561     8.5774     -4.7894    NASP-PR
6.8699     8.5233     -4.6923
6.8273     8.5016     -4.5775
6.8364     8.5014     -4.4694
6.8622     8.5034     -4.4223



































































































































































































8.4859     9.2217     -6.8904    R-PM/MAX
8.4502     9.1185     -6.7447
8.4339     9.0678     -6.6484
8.4215     8.9522     -6.4909
8.3911     8.8415     -6.3227
8.4046     8.7613     -6.1676
8.3498     8.6948     -6.0232
8.3312     8.6044     -5.8495
8.2961     8.503      -5.6853
8.2603     8.4065     -5.4949
8.2276     8.3285     -5.3196
8.2275     8.2455     -5.1265
8.2248     8.1566     -4.9328
8.2005     8.0905     -4.757
8.1889     8.026      -4.6018
8.1894     7.9877     -4.4922
8.223      7.988      -4.4345
8.2213     8.0605     -4.3043






















































































































































































7.9845     9.6911     -6.8109    L-PM/MAX
7.8993     9.6929     -6.6449
7.8163     9.7283     -6.5219
7.671      9.717      -6.3032
7.535      9.7486     -6.1268
7.4141     9.7512     -5.927
7.3046     9.75       -5.7473
7.2101     9.7414     -5.5592
7.1245     9.759      -5.3596
7.0504     9.8158     -5.185
6.9531     9.8261     -5.0245
6.8766     9.8418     -4.8725
6.8161     9.8841     -4.6716
6.7917     9.8912     -4.543
6.8471     9.8712     -4.376

























































































































































































9.6987     8.5554     -4.3869    ROSTRUM
9.6371     8.4864     -4.6342
9.5663     8.4903     -4.8324
9.5137     8.514      -4.9834
9.423      8.6197     -5.252
9.3509     8.6629     -5.4719
9.2825     8.6975     -5.6485
9.2005     8.6885     -5.8938
9.1219     8.7142     -6.1089
9.0705     8.8294     -6.2833
8.9611     8.9655     -6.4598
8.8275     9.1249     -6.6407
8.7464     9.2694     -6.7652
8.6832     9.3419     -6.9717
8.6297     9.4057     -7.1237
8.5568     9.4779     -7.2412
8.503      9.5512     -7.3269
8.4465     9.6397     -7.3456
8.3612     9.6094     -7.2903
8.2972     9.7558     -7.1597
8.2591     9.9012     -6.9001
8.218      9.9767     -6.7528
8.0978     10.0467    -6.5834
