AMNH       201520     laa5ms.xls
17.3727    15.3388    -8.3364    IN
14.2071    13.0365    -11.6138   BR
10.6295    10.5286    -9.1596    GL
10.5944    10.4568    -8.8618    NA
9.6798     9.7969     -6.9007    RH
9.1431     9.4756     -4.9535    NS
8.9984     9.36       -4.3779    PR
9.6666     8.9586     -4.4307    R_PR2
10.3343    9.8528     -7.152     R_PMS
12.8526    8.8564     -5.5047    R_ZMI
11.5678    9.4968     -6.9755    R_ZMU
10.9755    10.3567    -7.7169    R_DA
11.8833    9.6978     -9.2033    R_MTI
12.1192    9.7834     -9.729     R_MTS
12.7481    8.9381     -8.1323    R_FMO
13.2697    8.9705     -8.2009    R_FMT
16.9724    11.4222    -7.2062    R_PO
14.1068    8.9113     -6.2235    R_ZTS
8.7714     10.0429    -4.4776    L_PR2
9.9122     10.3507    -7.2074    L_PMS
9.796      13.0153    -5.6619    L_ZMI
10.0072    11.6182    -7.0362    L_ZMU
10.6057    10.8013    -8.0865    L_DA
10.2629    11.8383    -9.2407    L_MTI
10.4341    11.9872    -9.7928    L_MTS
9.8298     12.9489    -8.2066    L_FMO
10.0028    13.4505    -8.2166    L_FMT
13.384     16.163     -7.2676    L_PO
10.1428    14.26      -6.357     L_ZTS
8.5956     9.6312     -4.5652    O1
9.6622     13.5401    -6.1108    O2
13.6289    16.4413    -7.5988    O3
17.0443    15.6672    -9.3881    O4







































































































































































10.6856    10.4939    -9.2937    GLRH
10.6577    10.4393    -9.1966
10.6465    10.4448    -9.1041
10.5912    10.4268    -8.9316
10.5547    10.4151    -8.7913
10.5365    10.4155    -8.6446
10.5083    10.3793    -8.4751
10.4706    10.3509    -8.2977
10.4563    10.3185    -8.1725
10.3829    10.2775    -7.9724
10.3306    10.2351    -7.7908
10.2551    10.1865    -7.6299
10.1863    10.1283    -7.5144
10.0616    10.0447    -7.3471
9.9305     9.9324     -7.2036
9.8627     9.8731     -7.1224
9.7613     9.7996     -7.0206
9.7072     9.7623     -6.9536
9.6951     9.7508     -6.8775





















































































































































































9.6832     9.7528     -6.8887    NOSE
9.769      9.6504     -6.8769
9.8276     9.6044     -6.7438
9.8944     9.5235     -6.6379
9.9294     9.4253     -6.462
9.9609     9.4165     -6.2619
9.9608     9.3357     -6.0952
9.9387     9.3152     -5.9133
9.8707     9.3478     -5.7185
9.7605     9.3396     -5.58
9.6245     9.315      -5.4497
9.492      9.3344     -5.3156
9.3645     9.3485     -5.1731
9.2651     9.3936     -5.0512
9.1679     9.4087     -4.9441
9.1179     9.5386     -5.0111
9.0993     9.6486     -5.124
9.1241     9.7398     -5.2279
9.1598     9.8771     -5.3559
9.2106     10.0015    -5.471
9.2265     10.0858    -5.5827
9.2716     10.1875    -5.7112
9.3216     10.253     -5.9116
9.3492     10.258     -6.1189
9.3937     10.1987    -6.3623
9.4021     10.1126    -6.5317
9.4766     10.0011    -6.7266
9.5529     9.9323     -6.81
9.6376     9.8279     -6.8761
9.6924     9.7925     -6.8474










































































































































































9.1601     9.4629     -4.9642    NASP-PR
9.0782     9.3986     -4.839
9.027      9.3487     -4.7367
9.0201     9.3267     -4.648
9.0141     9.3162     -4.5245
8.9999     9.334      -4.4278
9.0308     9.3259     -4.3937

































































































































































































10.3619    9.8441     -7.1492    R-PM/MAX
10.3414    9.7171     -7.0242
10.2798    9.6074     -6.8332
10.2386    9.4988     -6.6778
10.198     9.4484     -6.5635
10.1838    9.3742     -6.4077
10.1511    9.3113     -6.2658
10.1092    9.2564     -6.1143
10.0518    9.2246     -5.9068
10.1057    9.1594     -5.7169
10.1405    9.0973     -5.5126
10.204     9.0532     -5.3408
10.2396    9.006      -5.1617
10.3191    8.9433     -4.9487
10.3543    8.897      -4.7915
10.3874    8.8758     -4.6646
10.434     8.9144     -4.561
10.4839    8.9607     -4.5055






















































































































































































9.761      10.3689    -7.0856    L-PM/MAX
9.6368     10.344     -6.9593
9.5641     10.36      -6.7834
9.4677     10.347     -6.6103
9.3896     10.3439    -6.4582
9.3084     10.3408    -6.2672
9.2264     10.3528    -6.0933
9.183      10.3502    -5.932
9.1323     10.3488    -5.7533
9.116      10.423     -5.6274
9.0677     10.4387    -5.4784
9.0425     10.4776    -5.2818
9.0241     10.5708    -5.1496
9.004      10.6028    -5.026
8.9614     10.6404    -4.8716
8.9423     10.664     -4.7844
8.9448     10.7122    -4.6773
8.9809     10.7183    -4.564






















































































































































































11.9218    9.3418     -4.8648    ROSTRUM
11.8583    9.323      -5.0194
11.8074    9.3343     -5.1723
11.7314    9.3866     -5.421
11.6554    9.4379     -5.5879
11.5191    9.508      -5.8163
11.4572    9.5125     -5.9593
11.3745    9.5075     -6.0969
11.3113    9.4853     -6.2695
11.2188    9.5337     -6.4404
11.1636    9.6292     -6.5048
11.0908    9.691      -6.6273
11.0132    9.73       -6.7554
10.8768    9.8722     -6.9153
10.796     9.9263     -7.0504
10.6732    10.026     -7.2795
10.5994    10.0744    -7.4095
10.5022    10.108     -7.58
10.3693    10.2207    -7.7411
10.2854    10.3176    -7.7412
10.2381    10.307     -7.743
10.218     10.4953    -7.5318
10.1744    10.6283    -7.328
10.1152    10.7644    -7.122
10.0168    10.9736    -6.8359
9.9795     11.1638    -6.5921
9.9015     11.3152    -6.3919
9.9104     11.4182    -6.2089
9.9364     11.5529    -5.8817
9.9177     11.6588    -5.6596
9.9022     11.737     -5.5045
9.8774     11.8566    -5.228
9.9112     11.9186    -5.0645
9.9302     11.9343    -4.8976
10.0124    11.9801    -4.7919





































































































































































13.2755    8.9711     -8.1988    SUPORB
13.2612    9.0082     -8.3666
13.2394    9.0269     -8.5917
13.1218    9.0584     -8.8176
12.9772    9.1756     -9.0541
12.8889    9.2442     -9.1621
12.7597    9.3262     -9.255
12.6367    9.4219     -9.3852
12.5141    9.5496     -9.5206
12.3746    9.6855     -9.655
12.1315    9.8555     -9.8068
11.8949    9.9744     -9.8578
11.6703    10.0556    -9.8523
11.4566    10.1491    -9.8241
11.2207    10.2977    -9.7787
11.0764    10.3887    -9.6923
10.9237    10.4671    -9.5927
10.7823    10.5904    -9.5359
10.7052    10.7188    -9.5382
10.7125    10.7573    -9.609
10.6661    11.0725    -9.7782
10.5692    11.4604    -9.8489
10.5393    11.7716    -9.9006
10.4773    12.0211    -9.8243
10.3984    12.2045    -9.7107
10.3165    12.4039    -9.6064
10.1838    12.7674    -9.3917
10.1294    13.0104    -9.2188
10.0701    13.2311    -9.0117
10.0066    13.3385    -8.7416
9.9673     13.3912    -8.5509
9.9737     13.4218    -8.3458








































































































































































11.5526    9.5187     -6.9756    RORBIT
11.6862    9.4156     -6.9775
11.8588    9.3256     -7.0126
12.0375    9.1925     -7.1041
12.263     9.1101     -7.2393
12.4638    9.0594     -7.4109
12.5809    8.9929     -7.5666
12.6804    8.9687     -7.7912
12.7402    8.919      -7.9378
12.7552    8.9806     -8.0447
12.7558    9.0547     -8.3527
12.6891    9.084      -8.543
12.5974    9.1188     -8.7305
12.4441    9.3025     -8.96
12.2846    9.4015     -9.084
12.0497    9.5764     -9.1618
11.813     9.7226     -9.2105
11.5746    9.8666     -9.2767
11.4453    9.9696     -9.2378
11.2407    10.1986    -9.1233
11.1544    10.3224    -8.9387
11.0644    10.3623    -8.7906
11.0541    10.4067    -8.5105
11.0267    10.3736    -8.2661
11.0141    10.3664    -7.9334















































































































































































9.9718     11.695     -7.051     LORBIT
9.9369     11.8764    -7.0476
9.8887     12.0399    -7.1056
9.8811     12.229     -7.1672
9.8366     12.4909    -7.3379
9.8565     12.6733    -7.546
9.8527     12.7933    -7.7378
9.8878     12.9109    -8.0123
9.992      12.853     -8.5844
10.0355    12.6018    -8.9431
10.0576    12.4118    -9.1096
10.1219    12.1903    -9.1938
10.192     11.9561    -9.2926
10.2715    11.7934    -9.248
10.3284    11.5798    -9.2736
10.37      11.4293    -9.27
10.41      11.2603    -9.2559
10.4816    11.1525    -9.2035
10.566     11.0343    -9.1405
10.6362    11.0238    -8.981
10.6243    10.8718    -8.7356
10.6431    10.8254    -8.5587
10.6311    10.7847    -8.3928
10.6087    10.7795    -8.2503
10.6155    10.7974    -8.0729















































































































































































13.294     8.9679     -8.1377    RTEMFOS
13.3144    8.934      -8.0017
13.279     8.8915     -7.8197
13.2427    8.8429     -7.5874
13.1697    8.817      -7.3069
13.0525    8.8422     -6.8627
13.0296    8.843      -6.6831
13.0891    8.7774     -6.4359
13.2793    8.7735     -6.2478
13.479     8.7648     -6.1426
13.704     8.805      -6.104
14.0797    8.8572     -6.162
14.1214    8.8782     -6.1624



























































































































































































9.9659     13.4011    -8.3013    LTEMFOS
9.9581     13.4422    -8.0803
9.8958     13.4063    -7.9062
9.8617     13.4086    -7.7281
9.796      13.3566    -7.5211
9.7309     13.3013    -7.3732
9.7392     13.2548    -7.1326
9.7561     13.2123    -6.9244
9.7201     13.2471    -6.6634
9.8022     13.4337    -6.4598
9.9106     13.6866    -6.3501
9.985      13.8577    -6.3079
10.0973    14.0189    -6.3334
10.1382    14.0744    -6.3536
10.1386    14.1782    -6.3917










































































































































