NMNH       503882     laa6ms.xls
15.6656    13.8025    9.8087     IN
12.7143    11.0267    12.206     BR
9.5419     7.9414     9.7448     GL
9.5292     7.9059     9.4188     NA
8.9966     7.3621     7.6713     RH
8.166      6.5203     6.1563     NS
7.9411     6.2576     5.5834     PR
7.613      7.0192     5.5504     R_PR2
9.2583     7.9376     8.2483     R_PMS
8.4116     10.4172    6.3806     R_ZMI
8.6037     9.5237     7.8059     R_ZMU
9.6163     8.3685     8.8117     R_DA
8.6922     9.4711     9.7485     R_MTI
8.8365     9.5176     10.1421    R_MTS
8.2792     10.5071    8.7599     R_FMO
8.533      11.1726    8.8704     R_FMT
11.6422    13.7851    7.8788     R_PO
8.5431     11.7215    6.9219     R_ZTS
8.6865     5.9089     5.5824     L_PR2
9.5962     7.5847     8.1856     L_PMS
11.94      6.4745     6.5638     L_ZMI
11.2084    6.8257     7.8251     L_ZMU
9.9387     7.9379     8.8255     L_DA
11.244     6.8463     9.7353     L_MTI
11.3965    6.9782     10.1204    L_MTS
12.0606    6.5083     8.7438     L_FMO
12.6949    6.6307     8.8787     L_FMT
15.3974    9.7094     7.9375     L_PO
13.4219    6.794      7.0747     L_ZTS
9.9884     6.2644     5.9521     O1
12.2061    6.1075     7.0792     O2
16.3521    10.4167    8.4192     O3
15.9113    13.2893    10.209     O4







































































































































































9.5175     7.9384     9.6621     GLRH
9.4794     7.9277     9.5577
9.4944     7.9237     9.4146
9.4893     7.9108     9.299
9.4932     7.8933     9.1906
9.4881     7.8936     9.0339
9.4962     7.8781     8.8901
9.4982     7.8701     8.7586
9.47       7.8674     8.6022
9.4254     7.8162     8.4484
9.4086     7.7901     8.3571
9.3801     7.7488     8.2381
9.3271     7.6989     8.1162
9.259      7.6516     8.03
9.196      7.5918     7.9251
9.1579     7.5287     7.8466
9.1097     7.4803     7.8114
9.0504     7.4418     7.7652
9.0314     7.4102     7.7413
9.0237     7.3853     7.7018
8.9961     7.3637     7.667
8.9987     7.3511     7.6656
8.9628     7.321      7.5818

















































































































































































8.9539     7.3542     7.6429     NOSE
8.9271     7.4263     7.6542
8.931      7.4792     7.6751
8.923      7.5579     7.7276
8.8763     7.5975     7.6962
8.8418     7.6421     7.6416
8.8016     7.6323     7.5652
8.7727     7.6248     7.5078
8.7653     7.6135     7.4688
8.7455     7.6207     7.439
8.7525     7.6564     7.3908
8.6687     7.696      7.2691
8.6095     7.7114     7.165
8.5221     7.6771     7.081
8.4583     7.6252     6.9567
8.4109     7.5518     6.8837
8.3879     7.5022     6.8217
8.3742     7.4377     6.7469
8.3758     7.3404     6.687
8.323      7.2566     6.6493
8.3031     7.1689     6.5953
8.268      7.0766     6.5337
8.2217     7.0063     6.4939
8.2136     6.9264     6.4545
8.1863     6.8561     6.3989
8.1652     6.787      6.3386
8.1613     6.6743     6.2467
8.1531     6.6398     6.2032
8.1522     6.6038     6.1657
8.1514     6.5366     6.1678
8.2081     6.4869     6.1525
8.2909     6.4426     6.191
8.3582     6.4283     6.2438
8.4247     6.4616     6.318
8.4689     6.468      6.3664
8.5235     6.4755     6.4107
8.6032     6.5068     6.4659
8.6848     6.5212     6.5221
8.769      6.5412     6.5491
8.8103     6.5493     6.5969
8.9102     6.5812     6.6452
8.9638     6.6227     6.6618
9.0307     6.6347     6.6834
9.0799     6.6583     6.7367
9.144      6.693      6.7542
9.1891     6.6856     6.8114
9.2263     6.6829     6.8521
9.2666     6.7157     6.8952
9.3009     6.7355     6.9319
9.3116     6.7285     6.9415
9.3387     6.7613     6.9668
9.3652     6.8124     7.0344
9.3994     6.8531     7.0732
9.3918     6.9028     7.1204
9.3998     6.9411     7.1353
9.4024     6.9628     7.1639
9.4191     6.9568     7.1965
9.4092     6.9959     7.2764
9.4304     7.0079     7.3123
9.436      7.0303     7.381
9.4123     7.0725     7.4218
9.4096     7.0843     7.433
9.41       7.0972     7.4841
9.3738     7.1142     7.5109
9.3427     7.1012     7.4791
9.2826     7.1181     7.4812
9.2638     7.1525     7.4999
9.2662     7.1753     7.5188
9.2446     7.2236     7.5385
9.2158     7.2528     7.5727
9.2113     7.2532     7.617
9.1753     7.266      7.6551
9.1433     7.294      7.6496
9.114      7.3112     7.6324
9.0653     7.3058     7.6347
9.0035     7.3137     7.6597
8.9773     7.3121     7.6355
8.9592     7.3571     7.5817


























































































































8.1411     6.5181     6.1625     NASP-PR
8.0946     6.4656     6.1173
8.0406     6.4184     6.0421
7.9652     6.3773     5.9696
7.9583     6.3667     5.911
7.9545     6.3379     5.8355
7.9255     6.316      5.7412
7.9092     6.2899     5.6873
7.8951     6.2751     5.6501
7.9291     6.2563     5.5309






























































































































































































9.2783     7.9287     8.2777     R-PM/MAX
9.2277     7.9472     8.1704
9.1805     7.955      8.0755
9.0946     7.9442     7.9574
9.0226     7.9155     7.8429
8.9533     7.9289     7.7389
8.8968     7.9233     7.6482
8.8191     7.9258     7.5288
8.7499     7.9232     7.4009
8.6592     7.9128     7.3159
8.6078     7.8982     7.2194
8.5392     7.8978     7.122
8.4572     7.8803     7.0387
8.3927     7.8696     6.9531
8.3112     7.8189     6.8131
8.2453     7.7872     6.7153
8.1685     7.7781     6.5947
8.0713     7.7657     6.4499
7.9973     7.7646     6.3477
7.919      7.7384     6.2133
7.8555     7.7554     6.0979
7.808      7.77       6.0274
7.7813     7.7788     5.983
7.7497     7.7953     5.8967
7.7302     7.8109     5.7945
7.8054     7.8572     5.684














































































































































































9.5742     7.5833     8.1604     L-PM/MAX
9.6047     7.5185     8.0753
9.6133     7.4491     7.9585
9.6223     7.3974     7.8633
9.6315     7.3258     7.7475
9.6309     7.2251     7.6187
9.6242     7.1411     7.4981
9.6536     7.063      7.3886
9.6266     6.971      7.2867
9.6105     6.8762     7.1657
9.5796     6.7932     7.0585
9.536      6.7097     6.9145
9.5175     6.6586     6.8104
9.4916     6.5833     6.7222
9.4681     6.4912     6.5951
9.4291     6.411      6.4904
9.4367     6.3709     6.398
9.44       6.2938     6.2808
9.4016     6.2342     6.1963
9.4056     6.1809     6.137
9.4114     6.1324     6.0668
9.4026     6.1        5.999
9.407      6.09       5.9811
9.4676     6.0623     5.9085
9.4836     6.0429     5.8114
9.4751     6.0585     5.7541














































































































































































8.9503     9.9106     5.7965     ROSTRUM
8.9016     9.8987     5.8841
8.8458     9.8926     6.0035
8.7748     9.8834     6.1297
8.7143     9.8478     6.2112
8.6634     9.7806     6.3313
8.6494     9.7462     6.434
8.6581     9.6668     6.5116
8.6791     9.6045     6.6085
8.6561     9.5524     6.694
8.7206     9.4703     6.7499
8.7447     9.3949     6.7775
8.7647     9.3156     6.8742
8.7349     9.2619     6.9711
8.7675     9.1754     7.0677
8.732      9.1682     7.14
8.7434     9.1131     7.2214
8.7585     9.056      7.2728
8.7711     9.0069     7.33
8.8043     8.9685     7.3893
8.8401     8.9187     7.4108
8.9052     8.8265     7.456
8.9246     8.7981     7.487
8.9491     8.7709     7.5054
8.9876     8.706      7.5603
9.0513     8.6321     7.5739
9.0897     8.5808     7.6099
9.1131     8.5494     7.6563
9.1329     8.508      7.7067
9.1484     8.4233     7.7508
9.1727     8.3838     7.8053
9.2134     8.2871     7.8816
9.2144     8.2339     7.9449
9.2167     8.1941     7.9888
9.2281     8.1354     8.0523
9.2124     8.0911     8.0858
9.2128     8.038      8.1199
9.2247     7.9899     8.1624
9.2336     7.9805     8.2034
9.2439     7.927      8.2243
9.2891     7.8652     8.2544
9.3414     7.8034     8.2717
9.3686     7.7548     8.2673
9.4107     7.7223     8.28
9.4729     7.683      8.2883
9.4903     7.6548     8.2585
9.6354     7.6134     8.2254
9.66       7.5559     8.1205
9.7515     7.5433     8.0132
9.8664     7.5135     7.8934
9.9676     7.4884     7.7984
10.04      7.4755     7.7519
10.115     7.4342     7.6751
10.1613    7.4179     7.6231
10.201     7.3754     7.5667
10.2753    7.2852     7.5286
10.3566    7.2428     7.4741
10.4346    7.2187     7.3624
10.5105    7.1961     7.3215
10.6038    7.1398     7.2251
10.635     7.099      7.1709
10.698     7.0708     7.1228
10.7966    7.0269     7.0245
10.9242    7.0195     6.8887
10.9559    7.0066     6.8315
11.008     6.9879     6.7723
11.1037    6.9636     6.6882
11.1873    6.9305     6.5421
