AMNH       52596      laj13ms.xls
15.5745    13.4303    -8.6137    IN
9999       9999       9999       BR
9.3033     7.8704     -9.4452    GL
9.221      7.7746     -9.0488    NA
8.3014     6.9362     -6.7959    RH
7.7573     6.4902     -5.0476    NS
7.5961     6.4057     -4.6097    PR
8.1535     6.0207     -4.4599    R_PR2
9.0314     7.3365     -7.5758    R_PMS
11.1845    6.3527     -5.7342    R_ZMI
10.4803    6.632      -7.1188    R_ZMU
9.5873     7.7971     -8.3854    R_DA
10.4489    7.1226     -9.3658    R_MTI
10.6774    7.3409     -9.944     R_MTS
11.5154    6.4803     -8.1755    R_FMO
12.03      6.5309     -8.0856    R_FMT
15.5939    8.9768     -7.428     R_PO
12.8567    6.4223     -6.0966    R_ZTS
7.2928     6.937      -4.3578    L_PR2
8.6744     7.6759     -7.5393    L_PMS
7.9861     10.0997    -5.7213    L_ZMI
8.2394     9.1668     -7.1898    L_ZMU
9.2027     8.0799     -8.3881    L_DA
8.7048     9.1473     -9.4457    L_MTI
8.9189     9.3456     -10.0158   L_MTS
8.133      10.2932    -8.3697    L_FMO
8.2293     10.6628    -8.2723    L_FMT
11.2443    13.7931    -7.6222    L_PO
8.3469     11.6814    -6.3203    L_ZTS
7.5465     5.9317     -4.1582    O1
7.7408     10.5436    -5.9473    O2
11.9565    14.3388    -8.1648    O3
15.1691    13.7971    -9.0739    O4







































































































































































9.3031     7.7909     -9.2536    GLRH
9.267      7.7493     -9.12
9.2678     7.7147     -9.0188
9.223      7.6877     -8.8549
9.1747     7.6604     -8.6919
9.1291     7.6329     -8.508
9.1008     7.6167     -8.3773
9.0622     7.6139     -8.2051
8.9966     7.5803     -8.0475
8.9554     7.5249     -7.8239
8.8995     7.468      -7.7224
