AMNH       52618      LAJ17MS.XLS
17.9755    17.41      -9.4248    IN
15.1021    14.4194    -11.6905   BR
11.7479    11.169     -9.4224    GL
11.6132    11.0986    -9.0795    NA
10.5631    10.2767    -7.0396    RH
9.6793     9.1665     -5.0963    NS
9.553      8.9863     -4.5114    PR
10.1539    8.6387     -4.3071    R_PR2
11.4086    10.6454    -7.6986    R_PMS
14.0756    9.5264     -5.8611    R_ZMI
13.0242    9.8755     -7.5244    R_ZMU
12.0905    11.1129    -8.7282    R_DA
13.215     10.3008    -9.4824    R_MTI
13.6498    10.8147    -10.1358   R_MTS
14.1953    9.8651     -8.3684    R_FMO
14.8363    9.7996     -8.0906    R_FMT
18.078     12.7455    -7.689     R_PO
15.484     9.5909     -6.5584    R_ZTS
9.1229     9.6215     -4.3696    L_PR2
10.9173    10.9029    -7.5669    L_PMS
10.1676    13.6436    -5.7674    L_ZMI
10.4162    12.625     -7.49      L_ZMU
11.6152    11.491     -8.5897    L_DA
10.9675    12.3899    -9.5548    L_MTI
11.4528    12.7052    -10.265    L_MTS
10.3984    13.6706    -8.3416    L_FMO
10.33      14.3128    -8.114     L_FMT
13.2404    17.444     -7.6348    L_PO
10.3422    15.2051    -6.5763    L_ZTS
9.6246     8.4888     -3.9148    O1
9.6918     13.811     -6.2539    O2
14.08      17.8806    -8.1112    O3
17.2978    17.672     -9.7567    O4







































































































































































11.7337    11.1905    -9.4553    GLRH
11.6633    11.1272    -9.2335
11.6194    11.0815    -9.0161
11.5936    11.0601    -8.8057
11.5567    11.0159    -8.6077
11.4932    10.9781    -8.4486
11.4323    10.9344    -8.2932
11.3634    10.8981    -8.1277
11.304     10.8513    -7.978
11.2086    10.7875    -7.8438
11.1279    10.7291    -7.7203
11.0619    10.6399    -7.5825
10.9822    10.6052    -7.516
10.9001    10.5426    -7.4015
10.7817    10.445     -7.2764
10.6747    10.3394    -7.2034
10.614     10.2836    -7.1333
10.5772    10.2514    -7.0272






















































































































































































10.5823    10.2605    -7.0004    NOSE
10.6472    10.1592    -7.0091
10.7108    10.1075    -6.9386
10.7443    10.0389    -6.8896
10.7514    9.9857     -6.8188
10.7763    9.9799     -6.7383
10.8705    9.8809     -6.7171
10.9274    9.8066     -6.6581
10.9601    9.7759     -6.5612
10.9891    9.6769     -6.4299
10.9895    9.5823     -6.3445
10.9557    9.4849     -6.2447
10.9601    9.4762     -6.2247
10.8863    9.3884     -6.0867
10.8301    9.327      -5.985
10.7528    9.2675     -5.8894
10.6957    9.2263     -5.7676
10.6109    9.1799     -5.6625
10.4737    9.1266     -5.5914
10.3147    9.0637     -5.526
10.1784    9.0752     -5.4739
10.0318    9.0657     -5.3876
9.919      9.0816     -5.3086
9.8123     9.0725     -5.2232
9.7498     9.1288     -5.1262
9.6973     9.174      -5.127
9.6269     9.3424     -5.2494
9.6025     9.4268     -5.3597
9.6091     9.5518     -5.4207
9.5973     9.6407     -5.4812
9.5951     9.7832     -5.5166
9.6322     9.9703     -5.5242
9.6582     10.1358    -5.5861
9.7111     10.255     -5.6906
9.7556     10.3256    -5.7855
9.8202     10.4106    -5.911
9.8856     10.4895    -6.042
9.9371     10.5418    -6.1465
10.0142    10.5752    -6.2629
10.1149    10.5876    -6.4045
10.1489    10.5751    -6.4549
10.203     10.5318    -6.5551
10.242     10.5038    -6.6149
10.3044    10.4606    -6.6983
10.2822    10.4375    -6.7703
10.3076    10.3745    -6.8279
10.5015    10.3209    -6.9914
10.5725    10.2746    -6.9883
10.6197    10.2368    -6.9858




























































