AMNH       119726     laj38ms.xls
15.5306    15.6837    -9.382     IN
12.4891    12.4855    -11.2782   BR
9.3868     9.568      -9.155     GL
9.289      9.4682     -8.7416    NA
8.0938     8.2634     -6.1023    RH
7.6241     7.7355     -4.2938    NS
7.4746     7.5897     -3.828     PR
8.2046     7.2866     -3.7545    R_PR2
8.9547     8.7313     -6.8801    R_PMS
11.8483    8.2239     -5.0033    R_ZMI
10.6147    8.3378     -6.8238    R_ZMU
9.5423     9.4133     -8.5087    R_DA
10.7949    8.8218     -9.1546    R_MTI
11.1198    9.1842     -9.6298    R_MTS
11.7703    8.2036     -7.8594    R_FMO
12.2964    8.3137     -7.919     R_FMT
15.5151    11.2582    -7.2131    R_PO
12.8721    8.2652     -5.9685    R_ZTS
7.1066     8.2506     -3.719     L_PR2
8.5486     9.1077     -6.9256    L_PMS
7.9859     11.8377    -5.1777    L_ZMI
8.1787     10.6291    -6.8301    L_ZMU
9.1599     9.7043     -8.3138    L_DA
8.664      10.7883    -9.1529    L_MTI
9.0482     11.1204    -9.652     L_MTS
7.9839     12.0452    -7.9098    L_FMO
8.1258     12.4741    -7.8599    L_FMT
10.8541    15.6963    -7.2778    L_PO
8.0293     13.0475    -6.0244    L_ZTS
9.6183     7.4775     -3.759     O1
7.634      12.2525    -5.5334    O2
11.2299    16.177     -7.5912    O3
14.716     16.3195    -8.9908    O4







































































































































































9.3706     9.5447     -9.113     GLRH
9.3167     9.5306     -8.9396
9.2932     9.4768     -8.746
9.2409     9.4288     -8.564
9.1962     9.3943     -8.354
9.111      9.3423     -8.1163
9.0783     9.2857     -7.9031
9.0461     9.2233     -7.7226
8.9894     9.1495     -7.5267
8.9403     9.0929     -7.3877
8.8677     9.0178     -7.2106
8.7528     8.9068     -7.03
8.6066     8.7731     -6.8251
8.5332     8.6707     -6.7341
8.4577     8.5711     -6.6256
8.3817     8.4544     -6.5117
8.3184     8.4136     -6.4262
8.2578     8.3562     -6.3728
8.2        8.3052     -6.2997
8.1522     8.246      -6.2367
8.0964     8.2256     -6.164



















































































































































































8.1043     8.2467     -6.1146    NOSE
8.1659     8.1799     -6.1007
8.2362     8.0993     -6.0683
8.2463     8.0503     -6.0048
8.2489     8.0068     -5.931
8.2524     7.9906     -5.8473
8.308      8.0109     -5.7987
8.3719     8.0359     -5.8119
8.4426     8.0351     -5.8514
8.4663     8.0398     -5.9057
8.535      8.0696     -5.9694
8.587      8.0231     -5.8212
8.6217     7.9599     -5.6826
8.6336     7.9017     -5.5346
8.5768     7.8055     -5.3307
8.4772     7.7146     -5.1223
8.3991     7.7032     -5.0114
8.3007     7.6782     -4.8638
8.2219     7.6336     -4.79
8.1434     7.6373     -4.7186
8.0554     7.6163     -4.6365
7.9715     7.6159     -4.5609
7.8665     7.6221     -4.4908
7.7779     7.6286     -4.414
7.6895     7.6568     -4.3385
7.6145     7.7092     -4.2985
7.5692     7.8096     -4.3254
7.4989     7.871      -4.443
7.4711     8.0184     -4.536
7.479      8.1217     -4.6068
7.4725     8.2475     -4.6863
7.4975     8.3643     -4.7606
7.5145     8.4505     -4.8219
7.5658     8.5474     -4.9436
7.6113     8.6279     -5.0361
7.6326     8.7052     -5.1568
7.6847     8.7649     -5.2787
7.7388     8.7962     -5.4339
7.7646     8.816      -5.5608
7.7996     8.8293     -5.7086
7.8321     8.7686     -5.7902
7.8631     8.749      -5.8755
7.8581     8.7105     -5.9121
7.868      8.6946     -5.9638
7.8602     8.6525     -5.9121
7.8275     8.612      -5.8566
7.8014     8.5229     -5.8088
7.8033     8.4657     -5.7985
7.817      8.4263     -5.7841
7.8348     8.3941     -5.8527
7.8752     8.3943     -5.9441
7.9644     8.3824     -6.0342
8.0156     8.3083     -6.0483
8.0856     8.2653     -6.0958
8.1216     8.2282     -6.0842

















































































































































7.6641     7.7479     -4.3265    NASP-PR
7.6056     7.6777     -4.2593
7.543      7.6265     -4.1907
7.5087     7.5983     -4.0957
7.4896     7.6135     -4.019
7.4836     7.5805     -3.9325
7.493      7.5824     -3.8796
7.5021     7.5965     -3.8203
7.5255     7.6072     -3.7675































































































































































































8.9489     8.7062     -6.8523    R-PM/MAX
8.9295     8.5792     -6.7297
8.8969     8.4786     -6.5942
8.9259     8.3765     -6.4503
8.9502     8.2958     -6.3131
8.9388     8.1785     -6.1228
8.9337     8.078      -5.9392
8.9338     7.977      -5.8112
8.9199     7.8986     -5.6353
8.9174     7.8349     -5.4542
8.9024     7.7726     -5.2966
8.8864     7.7513     -5.1783
8.8869     7.7038     -4.9973
8.902      7.6584     -4.8656
8.9273     7.621      -4.7669
8.9527     7.5711     -4.6633
8.9588     7.4715     -4.495
8.9773     7.4207     -4.3907
8.9841     7.3752     -4.3258
9.0605     7.3466     -4.2751
9.088      7.3084     -4.1886
9.1515     7.3893     -4.0248


















































































































































































8.5486     9.1143     -6.9392    L-PM/MAX
8.4482     9.097      -6.8383
8.3303     9.0956     -6.7032
8.2363     9.0779     -6.6067
8.1538     9.0626     -6.4693
8.0312     9.0495     -6.3038
7.9484     9.0539     -6.165
7.9018     9.0811     -6.0495
7.8351     9.0771     -5.882
7.7448     9.0373     -5.6966
7.6571     9.0232     -5.476
7.6085     8.9979     -5.3246
7.5576     8.9832     -5.1332
7.5442     8.9885     -4.9963
7.4695     9.0045     -4.7819
7.4095     9.0643     -4.6638
7.3212     9.0414     -4.4883
7.2464     9.0272     -4.4007
7.1819     9.0098     -4.282
7.1728     9.0433     -4.216
7.1617     9.0839     -4.1686
7.1783     9.1178     -4.0531
7.2238     9.133      -3.9667

















































































































































































10.6805    8.4419     -4.1595    ROSTRUM
10.6591    8.4112     -4.3154
10.6412    8.4199     -4.4761
10.5881    8.4199     -4.6959
10.5422    8.445      -4.811
10.4435    8.5237     -4.9951
10.3149    8.5855     -5.236
10.2463    8.6189     -5.4262
10.1901    8.6044     -5.6493
10.1823    8.5577     -5.8843
10.1791    8.5194     -6.0361
10.1724    8.486      -6.1942
10.0661    8.4693     -6.3104
9.9339     8.6127     -6.4219
9.8148     8.6329     -6.5704
9.674      8.7257     -6.7343
9.566      8.8246     -6.8901
9.4711     8.9278     -7.0471
