NMNH       45242      laj41ms.xls
16.2086    14.3658    13.2246    IN
12.6965    11.3548    14.2991    BR
9.7507     8.5579     11.0318    GL
9.702      8.53       10.643     NA
9.0262     7.8713     8.431      RH
8.4035     7.3184     6.2574     NS
8.3122     7.2083     5.4903     PR
7.9316     7.805      5.6864     R_PR2
9.2943     8.4687     9.2528     R_PMS
8.9224     11.7218    7.4699     R_ZMI
9.0248     10.21      9.3434     R_ZMU
9.8775     9.2648     10.4987    R_DA
8.9432     10.2753    11.1092    R_MTI
9.1596     10.3801    11.6568    R_MTS
8.6939     11.3722    10.1474    R_FMO
8.6127     12.0078    10.0353    R_FMT
12.1664    14.918     10.3956    R_PO
8.9835     12.9753    8.4071     R_ZTS
8.8321     6.7641     5.6506     L_PR2
9.653      8.1399     9.183      L_PMS
12.9211    7.4648     7.5228     L_ZMI
11.2545    7.7138     9.3614     L_ZMU
10.5958    8.6678     10.6476    L_DA
11.5036    7.5398     11.156     L_MTI
11.7659    7.749      11.6119    L_MTS
12.5665    7.2803     10.1493    L_FMO
13.1185    7.2645     10.185     L_FMT
16.2615    10.3697    10.5314    L_PO
14.0523    7.5174     8.5065     L_ZTS
8.9311     6.7487     6.3757     O1
12.4975    6.9299     8.7756     O2
16.437     10.526     11.5448    O3
16.0893    13.6617    13.7621    O4







































































































































































9.708      8.6176     11.0806    GLRH
9.6924     8.5948     10.9242
9.6868     8.5598     10.7262
9.6775     8.5576     10.6009
9.6829     8.5495     10.4513
9.6517     8.5346     10.2704
9.6267     8.5285     10.1358
9.5876     8.4997     9.9562
9.5751     8.4853     9.8523
9.5343     8.4253     9.7199
9.4865     8.4107     9.5719
9.4903     8.3708     9.4525
9.4143     8.3385     9.322
9.39       8.294      9.2131
9.3361     8.2632     9.0974
9.2996     8.2042     9.0155
9.2385     8.1426     8.9188
9.157      8.1023     8.7998
9.1325     8.0441     8.7445
9.0798     7.9904     8.6879
9.0724     7.9698     8.6066
9.066      7.946      8.566
9.0463     7.9404     8.5274
9.0248     7.9161     8.4676
















































































































































































9.0115     7.9591     8.4865     NOSE
8.9919     8.0374     8.4648
8.879      8.0384     8.465
8.84       8.03       8.4003
8.7674     8.0595     8.3483
8.7341     8.0773     8.2665
8.7232     8.1088     8.1924
8.6891     8.1376     8.1124
8.689      8.1942     8.1195
8.6333     8.2605     7.9889
8.6063     8.306      7.8397
8.5677     8.3049     7.6508
8.5155     8.2799     7.4695
8.4756     8.2602     7.3635
8.4208     8.2355     7.2792
8.38       8.2062     7.1852
8.313      8.1187     7.0052
8.2748     8.0575     6.8937
8.2237     7.9838     6.7608
8.2121     7.8955     6.6857
8.2226     7.8021     6.6069
8.2254     7.7131     6.5288
8.2331     7.6279     6.4707
8.2657     7.5315     6.3953
8.2821     7.4681     6.3611
8.3099     7.4334     6.2918
8.3235     7.3857     6.249
8.3515     7.3452     6.2213
8.3598     7.3034     6.2094
8.4489     7.1614     6.2709
8.5171     7.1492     6.3797
8.6428     7.1114     6.5223
8.7658     7.0764     6.6331
8.8024     7.0835     6.6821
8.9041     7.1055     6.7483
9.0047     7.1208     6.8674
9.064      7.1564     6.9478
9.1181     7.1772     7.0223
9.1823     7.1933     7.1367
9.2363     7.2177     7.2102
9.2713     7.2652     7.3165
9.2978     7.3214     7.4125
9.3263     7.3524     7.4827
9.3285     7.3942     7.5874
9.3661     7.4367     7.6872
9.3702     7.4649     7.7815
9.3538     7.5067     7.8912
9.3387     7.5514     7.9901
9.3206     7.5835     8.0259
9.3072     7.6178     8.1128
9.3164     7.6426     8.1735
9.3343     7.7163     8.1958
9.3265     7.7463     8.174
9.2612     7.732      8.134
9.1739     7.7464     8.1398
9.1041     7.771      8.1726
9.0693     7.8336     8.219
9.0552     7.8565     8.3192
9.0055     7.8833     8.3824
9.0182     7.9283     8.4523
9.0266     7.9617     8.4991
9.0234     7.9921     8.5289










































































































































8.3953     7.3509     6.2659     NASP-PR
8.3482     7.308      6.2184
8.3073     7.265      6.1271
8.2682     7.2421     6.0644
8.2503     7.1974     5.9801
8.2446     7.2079     5.8896
8.2518     7.1838     5.7297
8.2279     7.1877     5.6621
8.2459     7.2021     5.6066
8.2405     7.2205     5.5928
8.257      7.188      5.5525





























































































































































































9.2903     8.4975     9.2382     R-PM/MAX
9.206      8.506      9.1055
9.1618     8.5071     9.0249
9.0549     8.5155     8.9003
8.9855     8.5141     8.7803
8.9102     8.5344     8.6625
8.8617     8.5386     8.5478
8.7982     8.5504     8.4386
8.7246     8.5611     8.2311
8.6817     8.5969     8.1066
8.6382     8.6257     7.932
8.5997     8.657      7.8492
8.5255     8.6499     7.7012
8.4644     8.6544     7.5201
8.4114     8.6476     7.4224
8.3463     8.6394     7.2957
8.2988     8.6882     7.1603
8.2993     8.7144     7.0581
8.2659     8.7515     6.9463
8.2064     8.8134     6.7975
8.1801     8.8198     6.6697
8.1515     8.8649     6.5999
8.1141     8.8598     6.4872
8.0874     8.8803     6.3688
8.0757     8.8981     6.2919
8.0567     8.9056     6.1511
8.0796     8.9505     6.0311
8.1382     8.9552     5.8822












































































































































































9.6636     8.0831     9.0681     L-PM/MAX
9.657      8.0232     8.9503
9.6449     7.9794     8.8894
9.6264     7.891      8.7726
9.6239     7.8391     8.6735
9.6396     7.7649     8.5191
9.6425     7.7064     8.4163
9.6688     7.6702     8.3136
9.6961     7.5865     8.1793
9.699      7.5208     8.0499
9.7172     7.4416     7.8787
9.7304     7.3609     7.7227
9.7071     7.2883     7.5164
9.6918     7.2535     7.3898
9.6869     7.2147     7.3015
9.6744     7.1814     7.1658
9.6704     7.1415     7.0782
9.6369     7.0988     6.9982
9.6452     7.0224     6.8357
9.6493     6.9916     6.7515
9.6988     6.9473     6.6578
9.7644     6.8876     6.5237
9.7859     6.8444     6.4279
9.8196     6.8155     6.3756
9.8585     6.7913     6.2663
9.8859     6.7905     6.2094
9.9315     6.7912     6.1563
9.955      6.8297     6.0015
10.0114    6.8521     5.9751











































































































































































9.4355     11.1138    6.5561     ROSTRUM
9.3884     11.0945    6.7201
9.356      11.0279    6.8296
9.3197     10.943     6.952
9.3269     10.8479    7.0302
9.3621     10.7422    7.1195
9.4086     10.6304    7.2081
9.404      10.5713    7.2944
9.3866     10.539     7.3622
9.383      10.4982    7.4501
9.367      10.4436    7.5092
9.3447     10.4092    7.5636
9.3224     10.3453    7.6857
9.3195     10.2432    7.7655
9.3022     10.2145    7.839
