NMNH       164578     laj42ms.xls
15.2504    13.7903    8.9731     IN
12.5842    11.5175    11.7992    BR
9.4942     8.5954     9.7326     GL
9.4295     8.5282     9.3401     NA
8.6111     7.7786     7.5167     RH
8.1776     7.3863     5.9887     NS
8.1123     7.3042     5.5797     PR
7.6981     7.9877     5.5822     R_PR2
9.0016     8.3583     8.1104     R_PMS
8.4124     10.9395    6.4477     R_ZMI
8.496      9.7501     8.0011     R_ZMU
9.4107     8.9378     9.0208     R_DA
8.81       10.2555    9.854      R_MTI
8.9807     10.416     10.138     R_MTS
8.4272     11.1062    8.7644     R_FMO
8.5969     11.58      8.6491     R_FMT
11.2715    13.8722    7.7784     R_PO
8.6623     12.1741    7.0962     R_ZTS
8.739      6.9288     5.5021     L_PR2
9.2337     8.055      7.9955     L_PMS
11.585     7.2706     6.6215     L_ZMI
10.4998    7.6004     7.9527     L_ZMU
9.7979     8.501      8.9652     L_DA
10.9671    7.7918     9.8683     L_MTI
11.1321    7.915      10.0854    L_MTS
11.891     7.39       8.6907     L_FMO
12.3736    7.5291     8.5914     L_FMT
14.8074    9.9876     7.8631     L_PO
12.8716    7.4435     7.1328     L_ZTS
8.9389     6.9125     6.0204     O1
11.3128    6.9985     7.5981     O2
15.4535    10.174     8.6005     O3
15.5038    12.5485    10.3598    O4







































































































































































9.4814     8.5828     9.6813     GLRH
9.4701     8.5423     9.5506
9.4339     8.5101     9.3602
9.4097     8.4917     9.2763
9.3746     8.4754     9.1078
9.3374     8.4452     9.0019
9.3415     8.4204     8.8814
9.2945     8.3796     8.7442
9.2708     8.3569     8.614
9.2511     8.3221     8.5115
9.2133     8.2949     8.4028
9.1839     8.2621     8.2936
9.1638     8.2243     8.1921
9.0941     8.1801     8.0534
9.0409     8.1393     7.9711
8.9887     8.1142     7.9206
8.9137     8.0472     7.8389
8.8522     7.998      7.768
8.7706     7.9414     7.717
8.7382     7.883      7.6776
8.6876     7.8371     7.6211
8.6542     7.8182     7.6096
8.6211     7.785      7.5571
8.6082     7.7731     7.4868
















































































































































































8.5577     7.8105     7.5441     NOSE
8.5021     7.8734     7.5531
8.4456     7.8974     7.5047
8.4177     7.9292     7.4417
8.4045     7.9858     7.4147
8.4177     8.0342     7.4165
8.4323     8.0894     7.4478
8.4812     8.1338     7.4065
8.4626     8.1719     7.2996
8.3928     8.211      7.2116
8.3536     8.2416     7.1401
8.2963     8.2173     7.0362
8.221      8.2108     6.9121
8.1692     8.1791     6.7827
8.1484     8.1453     6.7128
8.1264     8.0782     6.5825
8.121      7.9987     6.5163
8.1066     7.9234     6.451
8.1126     7.8598     6.373
8.1282     7.78       6.2917
