NMNH       220094     lal1ms.xls
13.7803    15.1752    13.1757    IN
11.2982    11.216     14.6958    BR
9.136      8.1334     11.8369    GL
9.0748     8.0977     11.4394    NA
8.3047     6.9244     8.6137     RH
7.911      6.3818     6.3665     NS
7.8452     6.3082     5.4987     PR
7.3593     6.8149     5.5257     R_PR2
8.6607     7.8818     9.6388     R_PMS
7.267      10.6505    7.8638     R_ZMI
7.8858     9.3952     9.6537     R_ZMU
9.1076     8.7666     11.0145    R_DA
7.8462     9.4883     11.8597    R_MTI
8.0571     9.6758     12.5229    R_MTS
7.3668     10.4448    10.9561    R_FMO
7.1159     11.0982    11.102     R_FMT
9.5647     14.9012    10.7186    R_PO
6.7497     11.9704    8.9447     R_ZTS
8.4312     6.1661     5.379      L_PR2
9.08       7.5005     9.4642     L_PMS
12.0409    7.4976     7.6624     L_ZMI
10.7005    7.5163     9.6052     L_ZMU
9.6415     8.2402     10.9475    L_DA
10.8829    7.4829     11.7885    L_MTI
11.0048    7.7271     12.4835    L_MTS
11.9461    7.3132     10.9008    L_FMO
12.587     7.4208     11.0913    L_FMT
14.9751    11.2523    10.5372    L_PO
13.6109    7.5184     8.8059     L_ZTS
9.2537     6.1304     6.3349     O1
11.7859    7.0296     9.4738     O2
15.1968    11.4954    11.7842    O3
14.2025    14.1179    13.5257    O4







































































































































































9.1237     8.1341     11.8033    GLRH
9.1102     8.0941     11.6824
9.0758     8.0931     11.5288
9.0751     8.0776     11.3559
9.037      8.0548     11.1867
9.0569     8.0343     10.9961
9.0263     8.0298     10.8184
9.0289     8.0072     10.7017
8.9953     7.9589     10.4852
8.9903     7.937      10.4
8.9562     7.9057     10.2484
8.9454     7.8374     10.1106
8.8998     7.7922     9.994
8.8712     7.7134     9.7928
8.8363     7.6728     9.709
8.7721     7.6294     9.6418
8.7053     7.5749     9.5673
8.6705     7.4944     9.4056
8.6403     7.4425     9.3112
8.611      7.3678     9.2254
8.5502     7.2954     9.1445
8.5014     7.254      9.0875
