AMNH     52566    caa26ms.xls
8.0633   5.3682   -1.9921  IS
8.6798   5.6717   -2.4846  ID
8.4837   5.8163   -2.5583  R_I12
8.1639   5.8399   -2.5216  R_I2C
7.7968   5.7315   -2.4632  R_CP3
7.4494   5.5601   -2.3945  R_P34
7.1212   5.3548   -2.3738  R_P4M1
6.7126   5.1144   -2.2358  R_M12
6.236    4.8136   -2.2074  R_M23
5.7845   4.4689   -2.2687  R_DM3
7.4107   5.7554   -1.535   R_MF
7.2096   5.6671   -1.8863  R_PCF
5.8707 5.2374 -1.8064 R_CB
6.2655 4.7744 -1.9407 R_CL
4.8535   4.795    -4.1582  R_COR
4.3995   4.2883   -3.6084  R_NOT
3.8189   4.0756   -3.7853  R_CND
9999     9999     9999     L_I12
9999     9999     9999     L_I2C
9999     9999     9999     L_CP3
9999     9999     9999     L_P34
9999     9999     9999     L_P4M1
9999     9999     9999     L_M12
9999     9999     9999     L_M23
9999     9999     9999     L_DM3
9999     9999     9999     L_MF
9999     9999     9999     L_PCF
9999 9999 9999 L_CB
9999 9999 9999 L_CL
9999     9999     9999     L_COR
9999     9999     9999     L_NOT
9999     9999     9999     L_CND
8.1935   5.8708   -1.8838  O1
6.8896   5.0681   -1.9608  O2
5.0306   4.8299   -1.9116  O3
3.9479   4.1504   -2.8454  O4








































9999     9999     9999     I_SYM







































































































































































































4.889    4.8245   -4.1627  R_RAM
4.9756   4.9017   -4.0323
5.0392   4.9108   -3.9047
5.0755   4.9332   -3.7611
5.1844   4.9136   -3.6344
5.1966   4.9466   -3.4811
5.236    4.9413   -3.3462
5.2577   4.9396   -3.237
5.2701   4.9266   -3.1635
5.2903   4.906    -3.1298
5.3154   4.9123   -2.9209
5.3318   4.8938   -2.8315
5.3727   4.912    -2.7332
5.3769   4.9122   -2.6505
5.3912   4.9543   -2.5327
5.3911   4.9702   -2.4543
5.3871   4.9923   -2.3827
5.4225   5.019    -2.3044
5.4461   5.0325   -2.2607
5.4227   5.047    -2.1915




















































































































































































9999     9999     9999     L_RAM









