NMNH     367915   can18ms.xls
6.6315   9.991    2.196    IS
7.4879   10.7454  2.6693   ID
7.5781   10.4323  2.5984   R_I12
7.4649   10.0731  2.7424   R_I2C
7.2726   9.8074   2.6982   R_CP3
6.9697   9.3629   2.6599   R_P34
6.6695   9.0019   2.6393   R_P4M1
6.3612   8.6015   2.5641   R_M12
5.9803   8.1902   2.5053   R_M23
5.5772   7.6933   2.5297   R_DM3
6.8044   9.2396   1.4378   R_MF
7.0595   9.3153   2.0059   R_PCF
6.3697   7.7494   1.994    R_CB
5.805    8.278    2.2777   R_CL
6.0564   6.4938   3.6643   R_COR
5.3844   6.0322   3.3732   R_NOT
5.1077   5.1407   3.5927   R_CND
7.2088   10.8955  2.7177   L_I12
6.8608   10.8838  2.7771   L_I2C
6.5282   10.7354  2.6631   L_CP3
6.0104   10.4065  2.6966   L_P34
5.7173   10.1602  2.7206   L_P4M1
5.2383   9.8342   2.6215   L_M12
4.7806   9.5013   2.5772   L_M23
4.245    9.2023   2.6447   L_DM3
5.7326   10.3632  1.7124   L_MF
5.7994   10.4409  2.1935   L_PCF
4.3687   10.0113  2.1034   L_CB
4.8878   9.3893   2.3889   L_CL
3.0651   9.7238   3.8575   L_COR
2.5505   9.1163   3.6518   L_NOT
1.6209   8.9552   3.8476   L_CND
7.5251   10.3562  2.2751   O1
6.5108   8.1665   1.9026   O2
3.3337   9.5095   2.4282   O3
5.4252   6.269    2.1895   O4








































9999     9999     9999     I_SYM
9999     9999     9999






































































































































































































6.0554   6.4404   3.6403   R_RAM
6.1671   6.6006   3.5917
6.2283   6.7132   3.5162
6.2272   6.8209   3.4225
6.213    6.9045   3.3491
6.2136   6.9854   3.2334
6.1478   7.0551   3.0592
6.1113   7.0713   2.8993
6.1186   7.0981   2.7954
6.1162   7.1407   2.7121
6.1124   7.1588   2.5765
6.1476   7.223    2.4795
6.1655   7.2164   2.409
6.1927   7.2363   2.3246
6.1982   7.2486   2.2487
6.2369   7.301    2.0837
6.2569   7.3105   2.0499
6.2624   7.3307   2.0176






















































































































































































3.1423   9.7738   3.872    L_RAM
3.2791   9.8357   3.7717
3.3494   9.8597   3.729
3.4083   9.8573   3.6932
3.4985   9.8429   3.5828
3.5346   9.8208   3.5032
3.5726   9.8074   3.4115
3.5789   9.8059   3.3944
3.6206   9.7494   3.2172
3.6214   9.7341   3.0061
3.6562   9.7277   2.9097
3.6841   9.7526   2.7262
3.7181   9.7677   2.6063
3.755    9.8276   2.5485
3.8165   9.8463   2.3983
3.8432   9.8865   2.2998
3.8924   9.8959   2.2491
3.9292   9.9156   2.1532
3.941    9.919    2.1121





















































































































































































4.8768   8.2848   2.1965   MMF
9999     9999     9999     GNA
4.7888   8.6477   1.6655   O1
2.5741   7.9728   2.3753   O2
3.4522   4.6112   2.0736   O3
0.5191   7.0885   2.4228   O4




9999     9999     9999     E_SYM
9999     9999     9999






































































































































































































-0.6637  6.1499   1.5462   R_PRAM
-0.6488  6.2056   1.6288
-0.6326  6.2839   1.7359
-0.6047  6.3511   1.8329
-0.542   6.4079   1.9504
-0.4824  6.4389   2.0242
-0.4167  6.4751   2.1838
-0.275   6.5249   2.3994
-0.1214  6.5918   2.6709
-0.0741  6.6097   2.7863
0.05     6.6037   2.9577
0.2678   6.516    3.1596
0.3519   6.5153   3.1975
0.5472   6.5054   3.3266
0.698    6.5385   3.3233
0.9517   6.6215   3.3567
1.045    6.7703   3.2958
1.198    6.8827   3.2464
1.3575   6.9853   3.1963
1.4376   7.0561   3.2089
1.5662   7.1797   3.1623
1.7247   7.2127   3.1433
1.8131   7.2657   3.1608

















































































































































































1.9804   3.0378   1.3833   L_PRAM
2.0498   3.0373   1.4648
2.0998   3.045    1.5814
2.1493   3.0513   1.6579
2.2263   3.1345   1.8752
2.348    3.2252   2.0229
2.3881   3.2551   2.1124
2.4022   3.3052   2.1925
2.4285   3.4033   2.3699
2.4642   3.4476   2.4579
2.4626   3.5503   2.6864
2.4816   3.6797   2.8305
2.4909   3.7787   2.9852
2.5158   3.8757   3.0603
2.5464   3.9538   3.1302
2.6211   4.107    3.2148
2.6236   4.1288   3.198
2.6746   4.3274   3.2819
2.8363   4.5054   3.2994
2.941    4.5734   3.2643
3.0521   4.6647   3.2172
3.1465   4.7109   3.1823
3.2253   4.7811   3.1473
3.2995   4.8623   3.1282
3.4261   5.017    3.1014
3.4833   5.1122   3.0933
3.5508   5.239    3.0913
3.6251   5.3256   3.0916












































































































































































9999     9999     9999     ARC
9999     9999     9999
