AMNH       119514     Mar6pwl
15.2605    23.2663    9.4017     IN
15.2243    18.6335    11.289     BR
14.6594    13.9377    9.7235     GL
14.6866    13.8156    9.0156     NA
14.478     11.8126    6.9727     RH
14.4276    10.3429    5.0262     NS
14.4376    9.9099     3.8843     PR
13.6818    10.1361    4.0169     R_PR2
14.1636    12.9978    7.4106     R_PMS
11.5863    15.201     5.1242     R_ZMI
12.7662    13.925     7.6256     R_ZMU
14.3716    14.0531    8.4324     R_DA
12.8297    14.3005    9.5106     R_MTI
13.0217    15.3324    9.9346     R_MTS
11.5416    14.9104    8.317      R_FMO
10.9204    15.8964    8.5102     R_FMT
11.7707    20.4469    7.3433     R_PO
10.7565    16.7739    5.6909     R_ZTS
15.2233    9.9987     4.0233     L_PR2
15.0286    12.8103    7.4044     L_PMS
18.0322    14.733     4.9719     L_ZMI
16.604     13.6224    7.5116     L_ZMU
15.1801    14.0337    8.2441     L_DA
16.7306    14.1834    9.4205     L_MTI
16.5954    14.9853    10.0546    L_MTS
18.0053    14.4746    8.2891     L_FMO
18.7317    15.4753    8.5015     L_FMT
18.4417    20.0371    7.2883     L_PO
19.175     16.2989    5.559      L_ZTS
14.9293    9.5294     3.6372     O1
18.6694    14.857     7.8982     O2
10.6138    19.0692    6.2608     O3
15.7252    23.0322    8.9925     O4



































































































































14.6587    13.9512     9.7989    GLRH
14.6839    13.9145     9.6676
14.6623    13.8625     9.4636
14.6886    13.8464     9.2371
14.6691     13.817     9.0215
 14.657    13.7297     8.8293
14.6782     13.605      8.602
14.6706    13.4326     8.3501
14.6896    13.3277     8.0448
14.6558    13.2634      7.851
 14.688    13.1868     7.7304
14.6377     13.019     7.6036
14.6353    12.8294     7.4807
14.5982    12.6367     7.3892
14.5867    12.4417     7.3159
14.5617    12.2397     7.2083
14.5131     12.067     7.1027
14.5073    11.9034     7.0319
14.4848    11.8089     6.9176





















































































































































































14.4865    11.7996     6.9575    NOSE
14.3072     11.855     6.9486
14.1541    11.9207     6.8675
14.0052    11.9116     6.8396
13.8437    11.9367     6.7796
13.7968    11.8403     6.6912
13.7403    11.7337     6.5783
13.6641    11.6381     6.3993
13.6694    11.5764     6.2786
13.6623    11.4841     6.1585
13.6539     11.402     6.0478
13.6796    11.2681     5.8869
13.7429    11.1264     5.7535
13.8209    10.9712     5.6127
13.9231    10.8209     5.5082
 14.038    10.6964      5.375
14.1121    10.5966     5.2976
 14.297    10.4289     5.1655
14.4121    10.3472     5.0808
14.5106    10.3253     5.0785
14.6771    10.3466     5.1735
14.9094    10.5133     5.3396
15.0224     10.652     5.4546
15.0844    10.7884     5.5779
15.1455     10.913     5.6833
15.2324    11.0401     5.8198
15.2996    11.1692     6.0069
15.3096    11.2932     6.2257
15.2646    11.3874     6.3731
15.2549     11.506     6.4932
15.2647    11.6119     6.6658
 15.226    11.7115     6.7643
15.0883    11.7918      6.877
14.8681    11.7528     6.8621
14.7522    11.7569     6.9326
14.6226    11.8314     7.0037




































































































































































14.4329    10.3291     5.0325    NASP-PR
14.4501    10.1904     4.9379
14.4445     10.096     4.8105
14.4451    10.0134      4.669
14.4258     9.9267     4.5136
14.4242     9.8973     4.3356
14.4083     9.8851     4.1564
14.4249      9.881     4.0202
14.4138     9.9013     3.9173































































































































































































14.1559    12.9876     7.3891    R-PM/MAX
14.1174    12.8663      7.367
13.9528    12.7106      7.307
13.7343    12.4671     7.1692
13.6137    12.2874     6.9934
13.5534    12.0617     6.8635
13.4498    11.8728     6.6311
13.3763    11.7133     6.4583
13.3335    11.5853     6.2953
13.2469     11.466     6.1486
13.2076    11.4116     5.9396
13.2216    11.2318     5.5497
13.2108    11.0975     5.3036
13.0935    10.9707     4.9789
13.0155    10.8152     4.4324
13.0974     10.881      4.333
























































































































































































15.0483    12.7776     7.3996    L-PM/MAX
15.1082    12.6668      7.347
15.2357    12.5706     7.3079
15.2855    12.4077     7.2747
15.3496    12.2758     7.2023
 15.429    12.1526     7.1428
15.5302    11.9961     6.9997
 15.567    11.8966     6.9209
15.5847    11.8068     6.8273
 15.614    11.6051     6.5687
15.6817    11.4943     6.4322
15.7958    11.4215     6.2839
15.8304    11.1759     5.9535
15.7597    10.8579     5.4696
15.7938    10.7598     5.2278
15.8316     10.667     5.0502
15.8642    10.6274     4.8717
15.9199    10.5665     4.7351
15.9061    10.5409     4.5271
15.8841    10.5973     4.4073




















































































































































































12.3688    13.2902      4.252    ROSTRUM
12.3604    13.2672     4.4539
12.3735    13.2607     4.5863
12.3797    13.2731     4.7657
12.4527    13.2194      5.113
12.4843    13.2441     5.2745
12.5009    13.2909     5.4509
  12.56    13.2608     5.6832
12.5861    13.2291     5.8965
 12.622    13.2379     6.1041
 12.727    13.2541     6.5615
12.8235    13.2534     6.7184
  12.95    13.2157     6.9048
13.1138    13.2586     7.0848
13.3561    13.2028      7.229
13.5532    13.2077     7.3188
13.8517    13.1623      7.429
14.0435    13.0985     7.4549
14.2701    13.0973     7.5138
14.4392     13.054     7.5615
14.5947    13.0336     7.5993
15.1183    13.0605     7.5014
15.3048    13.0215     7.4313
15.5834    13.0058     7.3455
15.7723    13.0173     7.2743
15.9744    12.9623     7.1905
16.2231    12.9866     7.0343
16.3436    12.9602     6.9042
16.4385    12.9518      6.794
16.6298    12.8983     6.3457
16.6975    12.8884      6.071
16.7554    12.8687     5.5551
16.8117    12.8865     5.3348
16.8645    12.8805     5.0876
16.9077    12.8786     4.8605
16.9262    12.8604     4.6619
16.9407     12.894     4.4926
16.9528    12.8983     4.2766


































































































































































10.8699    15.9582      8.453    SUPORB
10.9197     15.916     8.6079
11.0457    15.8385     8.8213
11.1954    15.8402     9.0162
11.3851    15.8011     9.2057
11.5349    15.7087     9.3762
11.7459    15.6769     9.5218
11.9779    15.6434      9.633
12.2635    15.6446     9.6818
12.4372     15.541      9.766
12.6346     15.443     9.8413
12.8365    15.4214     9.8553
12.9907    15.3067     9.9625
13.1678    15.1861    10.0053
13.3597    15.1499    10.0169
13.5094    15.0218     10.079
13.6894    14.9372    10.1062
