BNMM       FC 346     Phbots1sf2
9999       9999       9999       IN
0.1568     21.4691    13.3849    BR
0.4745     16.3707    14.0967    GL
0.4141     16.2924    13.5049    NA
-0.1329    10.6525    11.0238    RH
-0.1769    8.037      8.7439     NS
-0.0176    7.2741     7.5678     PR
0.9255     7.4339     7.8225     R_PR2
0.5866     11.4891    11.0446    R_PMS
3.6209     13.9506    8.788      R_ZMI
2.0252     14.9174    12.1891    R_ZMU
0.8023     16.1198    12.7902    R_DA
2.5769     16.2532    13.7837    R_MTI
2.8239     16.7891    14.4375    R_MTS
4.0258     16.4223    12.6736    R_FMO
4.7752     17.0789    12.2898    R_FMT
4.9269     20.4253    8.1917     R_PO
5.4528     15.6106    9.2566     R_ZTS
-0.8344    7.379      7.9703     L_PR2
-0.6995    11.5375    10.9505    L_PMS
-3.4468    14.2462    8.8517     L_ZMI
-1.7624    15.2342    12.0358    L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
-3.6248    16.4461    12.7152    L_FMO
-4.265     16.9432    12.7696    L_FMT
-4.6448    19.4672    8.4193     L_PO
9999       9999       9999       L_ZTS
-0.6943    7.9518     8.6223     O1
-4.0455    14.8389    9.8931     O2
3.9516     17.799     13.1557    O3
-1.603     23.5231    9.7461     O4



































































































































0.3723     16.3933    13.7769    GLRH
0.3996     16.2276    13.4267
0.3467     16.1419    13.0737
0.3321     15.9873    12.7784
0.2909     15.8076    12.5191
0.2956     15.6242    12.3892
0.2118     15.2709    12.2335
0.1931     14.9613    12.105
0.1745     14.6757    12.0142
0.2353     14.2806    11.865
0.1743     13.8639    11.8261
0.1523     13.5002    11.8234
0.1149     13.1412    11.7133
0.0259     12.9363    11.6673
0.0573     12.4083    11.5257
0.0222     12.0583    11.4484
0.0222     11.6725    11.3586
-0.0153    11.3154    11.2878
-0.0893    11.0011    11.1347
-0.0719    10.6817    10.9585




















































































































































































-0.0851    10.6684    10.9653    NOSE
0.2172     10.5331    10.9168
0.3943     10.4738    10.7879
0.5194     10.2203    10.6598
0.5898     10.0223    10.5704
0.6511     9.8114     10.4784
0.7257     9.4956     10.3682
0.6992     9.1372     10.0334
0.7542     8.9976     9.7534
0.7076     8.7419     9.5055
0.6394     8.544      9.3544
0.4678     8.4213     9.2284
0.3064     8.2419     9.0588
0.1555     8.1336     8.9058
-0.1216    8.0613     8.6996
-0.3278    8.1708     8.7701
-0.5146    8.3496     8.9041
-0.7249    8.5847     9.1275
-0.8955    8.8575     9.3359
